sextupole,sextupole_index,sextupole_s_m,scaling,observation_count,sigma_1,sigma_2,condition_number,effective_rank,response_x_norm,response_y_norm,response_x_y_cosine,parameter_rotation_x_mode1,parameter_rotation_y_mode1,parameter_rotation_x_mode2,parameter_rotation_y_mode2,relative_reconstruction_error,parameter_rotation_orthogonality_error,mode_weight_orthogonality_error
SEX_27E,636,567.0349216369722,raw,1191,1538.671371487369,1445.1879103083709,1.0646860249191061,2,1538.6189238471934,1445.2437485474898,-0.0030165180119977124,-0.9997106562291499,0.024054185121982371,0.024054185121982371,0.99971065622914979,6.2271450415724944e-16,2.4826362330009074e-16,7.2191179721014815e-16
SEX_27E,636,567.0349216369722,observable_rms,1191,23.313350046792724,17.70931086255948,1.316445920890188,2,17.712473489842569,23.310947310280667,0.012287873796816834,0.022074797519743262,0.99975632196773934,0.99975632196773956,-0.022074797519743256,4.1403828764922451e-16,3.1439831036922023e-16,1.4068083327079877e-15
SEX_27W,232,201.3942217791949,raw,1191,2345.414115576365,1785.7709540166263,1.3133902252699134,2,1833.4670005754222,2308.3206084847216,-0.14358963499002153,-0.27324790064380172,0.96194364948980005,-0.96194364948980005,-0.27324790064380167,2.6808906311806774e-16,3.340227414715084e-16,3.3823104336622004e-16
SEX_27W,232,201.3942217791949,observable_rms,1191,32.881934942405948,24.394207503061306,1.3479402820640716,2,24.47533666863994,32.821591981739083,-0.054428168596472384,-0.090307757060733879,0.99591390642698596,0.99591390642698585,0.090307757060733837,2.6727589568614597e-16,3.5366718685080179e-16,6.7539359437894939e-16
SEX_28E,628,558.829879636972,raw,1191,2249.376542677544,1519.998081766387,1.4798548561742575,2,2238.3761238349557,1536.151466349291,0.10617652246580041,-0.99098120035635173,-0.13400097216171342,0.13400097216171342,-0.99098120035635184,1.9542346184200924e-16,2.2261162977759697e-16,2.3551386880256624e-16
SEX_28E,628,558.829879636972,observable_rms,1191,32.459812392166278,27.001445803332825,1.2021509006810192,2,32.313752528542466,27.176072076903726,0.062174861958834891,-0.98531743474812483,-0.17073240108829579,0.17073240108829579,-0.98531743474812483,2.6326875181696224e-16,1.5705318573880628e-16,6.4736570491389375e-16
SEX_28W,240,209.59741377919488,raw,1191,4713.0438601852547,1906.2464714007992,2.4724210278652419,2,4710.8725086865443,1911.6061949730329,-0.068431010070100037,0.99944915590631633,-0.033187117352246186,0.033187117352246179,0.99944915590631644,1.8770235697664694e-16,2.2237960500453171e-16,1.1977891895403529e-15
SEX_28W,240,209.59741377919488,observable_rms,1191,45.616467642304713,31.732067232825081,1.437551083817098,2,45.537998490539287,31.844574176861041,-0.060237586756100379,0.99666425652679169,-0.081611027207706327,0.081611027207706327,0.99666425652679191,2.6453835189605909e-16,6.7555277954839882e-16,4.9689457520730056e-16
SEX_29E,618,550.4007376369719,raw,1191,1548.3643690482795,750.9119992934418,2.0619784615310279,2,1546.4377200850183,754.87179568414308,0.089423728265012964,0.99837271712552644,0.057025588110896121,-0.057025588110896121,0.99837271712552655,3.9248380082081621e-16,2.2209609824252983e-16,2.3551386880256624e-16
SEX_29E,618,550.4007376369719,observable_rms,1191,19.390403465953813,17.227273366326433,1.1255642755315869,2,17.248073559335257,19.371903693296996,0.022453652118283516,0.095148356481794816,0.99546310341409106,-0.99546310341409094,0.095148356481794816,2.0114500935426815e-16,1.1187445797724662e-16,4.4706755474968391e-16
