sextupole,sextupole_index,sextupole_s_m,nominal_kn2_m3,nominal_k2l_m2,observation_scope,observation_name,observable,value,d_k2,d_x,d_y,d2_k2_k2,d2_k2_x,d2_k2_y,d2_x_x,d2_x_y,d2_y_y
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,c12,-0.0041317483038569485,-0.0016212571285399166,-0.1763128374541506,58.923091574485625,-0.0006031403254621091,0.4147135860043165,-144.05145581059142,-1.5687970356490213,371.8441727890112,0.6204040050261977
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,c21,0.000386993597704164,6.030399992261319e-5,0.0024086383031728022,0.30653520758192787,2.112403914430085e-5,-0.005361461712612004,-0.7483594067864948,0.040873708803102794,0.848436804845105,-0.0002251063808466217
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,c22,0.0037574058557331824,0.0007755929759753679,0.0260713393002849,6.575912214557431,0.0002742726964668242,-0.056806231842461016,-16.036733349035472,0.5885484828673779,45.40128502340803,-0.021704511439286263
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_32w,orbit_x,0.012643063230717002,-5.367614798395644e-5,-0.0051300032795555915,6.401164647048115e-6,-1.7832708377708403e-7,0.013378302640051607,-1.6727525748386735e-5,0.6390979340692398,0.00023201301843254972,-0.6442323151745066
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_32w,orbit_y,-8.30746650770796e-6,-1.753623853389088e-7,-7.204694026277196e-6,-0.005952761196182707,9.835772304073557e-10,1.880681550281222e-5,0.015579848408411532,-0.00029527460333975976,0.7442268075343041,0.0003069382720679909
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_32w,phi_1,3.2389022973970696,-0.010663514221468329,-0.510234929259463,0.028381925058247413,0.0014664215273810675,1.4017938034979276,-0.06877179644106915,3.5213502895433484,0.4754415982218218,7.521337663526541
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_32w,phi_2,3.0111099244957145,-7.273221251952004e-5,-0.0006190490186190889,-0.003127590963318868,-6.704960858203157e-5,-0.0015926168781819072,0.007684199031223173,-0.8645298715882106,-0.021397645460449505,0.8191154757173924
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_32w,beta_1,20.92104651596918,0.44012822538399116,20.84714962939595,-0.629485543252831,0.041525356055230896,-52.40096512299853,1.5682522072467697,141.58437979294246,2.689899549308315,-363.03040389076784
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_32w,beta_2,13.995763458896965,0.10399138881045192,5.195810366597174,-0.020398373942732858,0.07807653084314645,-9.875371779586553,0.050610803266129156,117.27020083639906,-0.4451429965267911,66.06705728487735
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_32w,alpha_1,0.7301315050470679,0.08099495408851487,3.8575443061597703,-0.02159795924407218,-0.0073511074818133106,-10.41895298588557,0.05297147189596328,-13.690610488276745,-0.07105481676443048,-62.158720941162805
