sextupole,observable_family,observation_count,norm_k2_x,norm_k2_y,cosine_x_y,singular_max,singular_min,condition_number
SEX_31E,phase,198,11.789817885061556,1.4935621967295365,0.05940034718895752,11.790157105591721,1.4908820288278868,7.908175749399165
SEX_31E,tune,3,0.8410087295007378,0.001482753626440985,0.7679095488124574,0.8410095002763791,0.000949789259251847,885.4695839989239
SEX_31W,alpha,198,197.74048937329212,481.2159199933051,0.19403316775138907,483.0361768252948,193.25142863791356,2.4995218934724552
SEX_31W,beta,198,1381.6604285742717,1132.272925095909,0.06138839748412692,1386.855032257617,1125.9043637427694,1.2317698349150958
SEX_31W,coupling,396,2.951292008577951,709.2387872740121,-0.9665433270130728,709.2445237249244,0.7570103278285475,936.9020443345373
SEX_31W,orbit,198,0.02515090363741119,0.06415940294349876,0.009931223304569699,0.06415997741837774,0.02514943811535041,2.5511495375801876
SEX_31W,phase,198,7.423708937868526,0.8189208406296452,0.5237760571262061,7.436199959775324,0.6964308261730435,10.67758588550421
SEX_31W,tune,3,0.7112724378445506,0.0010586597626362298,-0.08853601321562424,0.7112724440202723,0.0010545023716530127,674.5100467676508
SEX_32E,alpha,198,533.9540945629032,792.5858113384757,0.1962392392407041,804.5112578643738,515.8108950042085,1.559701948245606
SEX_32E,beta,198,2935.7787633884686,1794.9578452728058,0.07902973890270105,2941.2146651582734,1786.03664781186,1.6467829306647572
SEX_32E,coupling,396,0.2212700229282461,975.706025127751,0.4743814286872252,975.7060307738899,0.19478829460165187,5009.0588490917235
SEX_32E,orbit,198,0.22758081102955527,0.20384726273727174,-0.0009669264178821214,0.22758124276971128,0.20384678072940515,1.1164328519458557
SEX_32E,phase,198,19.663377561805426,0.8893209338990621,0.7533718181359137,19.674798595822626,0.5844733316416092,33.66244023583087
SEX_32E,tune,3,0.6025093795909274,0.00023964889633622968,0.1841778521871808,0.6025093812076368,0.0002355492060918231,2557.891793414762
SEX_32W,alpha,198,333.5500029610789,1195.2839213188518,-0.433021948017091,1204.5542654082094,298.34255265649927,4.037487293323153
SEX_32W,beta,198,1723.1348662618168,2670.6569808085396,-0.17622701147708095,2699.037980055994,1678.3314507819289,1.608167432480945
