sextupole,sextupole_s_m,quadrupole,quadrupole_index,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,selected,selected_rank
SEX_30W,227.44579777919486,Q00E,1,-0.84178483645302,0.0008417848364530201,0.05981407074919363,0.016999954834969078,-0.05583351460974839,0.003037801249190508,0.012732439086521552,0.00738780564499919,0.1076620105801478,1,1,2
SEX_31E,532.8232536369719,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09065870916915174,-0.018956729569037156,0.06581104038732088,-0.004704900095866549,-0.05921498822502258,0.00738780564499919,0.1076620105801478,1,1,3
SEX_31W,235.87723977919484,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0370040241538878,0.0076897102261060946,0.028331294295582232,-0.01103749111638308,0.019638679019040595,0.00738780564499919,0.1076620105801478,1,1,4
SEX_32E,524.6217116369718,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09970299988582698,0.007119185009575313,0.09405362201784628,-0.011172007054810251,-0.030316791299938473,0.00738780564499919,0.1076620105801478,1,1,3
SEX_32W,244.07643177919482,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08815868558751061,-0.0181802730838716,0.08589093424440186,-0.005751700188978859,-0.005576457179369498,0.00738780564499919,0.1076620105801478,1,1,4
SEX_33E,516.1893696369717,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0824577107577388,0.019297043877091413,0.08008200406830279,-0.0037099861351421737,-8.239110334073985e-05,0.00738780564499919,0.1076620105801478,1,1,3
SEX_33W,252.50912377919482,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09984128301742601,-0.015854311121129117,0.08979254507508161,0.003892331664800963,-0.04048544450281888,0.00738780564499919,0.1076620105801478,1,1,2
SEX_34E,510.2408696369717,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0517805787134559,0.018875602643127598,0.045444308835216995,0.0007343598477689284,0.016100169777445217,0.00738780564499919,0.1076620105801478,1,1,3
SEX_34W,258.45162377919485,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08572658474682528,-0.009144916492027866,0.05650732380890422,0.006779616505166786,-0.06345373898130013,0.00738780564499919,0.1076620105801478,1,1,2
SEX_35E,502.3224176369717,Q00E,1,-0.84178483645302,0.0008417848364530201,0.027509933809214338,0.009618702854894634,-0.012689766192636842,0.006508343054797194,0.02146830962684021,0.00738780564499919,0.1076620105801478,1,1,4
SEX_35W,266.3785757791949,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07401237566607091,0.007403755219428154,-0.010848898838136778,0.007180360291581422,-0.07248282541726248,0.00738780564499919,0.1076620105801478,1,1,1
SEX_36E,491.3496046369717,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09384484128354409,-0.015738997723598658,-0.0915214653177372,0.0038273819845500157,-0.01297346212191286,0.00738780564499919,0.1076620105801478,1,1,2
SEX_36W,277.3502387791949,Q00E,1,-0.84178483645302,0.0008417848364530201,0.10070511654147084,0.01818792579331463,-0.09412916225624057,-0.005858691521277493,-0.030267084424584922,0.00738780564499919,0.1076620105801478,1,1,1
SEX_37E,483.3342626369717,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09713119940255358,-0.009880086187028514,-0.08288459784451896,-0.010600783128680291,-0.0485244333457544,0.00738780564499919,0.1076620105801478,1,1,3
SEX_37W,285.365430779195,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0782383598030673,-0.009747344056591833,-0.07687410837147524,-0.010612383231297429,0.001994746289481597,0.00738780564499919,0.1076620105801478,1,1,3
SEX_38E,475.1322206369717,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07475485923552137,0.01430845237564582,0.000750349307736986,-0.008847469380185657,-0.07283348427350944,0.00738780564499919,0.1076620105801478,1,1,3
SEX_38W,293.567872779195,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0293139423653285,-0.01967157767539951,0.0003226789808266073,-0.0012608894502843526,0.021694291526298315,0.00738780564499919,0.1076620105801478,1,1,7
SEX_39E,466.6991786369717,Q00E,1,-0.84178483645302,0.0008417848364530201,0.10039796314066787,0.018113264789162642,0.09026068174508839,0.002019985868770391,-0.04000736968952623,0.00738780564499919,0.1076620105801478,1,1,2
SEX_39W,301.997314779195,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08365122758870953,-0.007708804737124764,0.08294841950858234,0.007050642627955739,-0.002819635824721445,0.00738780564499919,0.1076620105801478,1,1,3
