trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,215,215,d091,Drift,66.433454999999995,0,1.4551460740964753e-15,4.2138951673005631e-10
1,216,216,q11w,Quadrupole,66.828654999999998,0,1.30887471605083e-15,5.4832784839210642e-10
1,217,217,d092,Drift,67.430561999999995,0,2.3899759892440355e-15,7.0755208971282502e-10
1,218,218,b12w,SBend,71.019599999999997,0,1.992312619614851e-14,8.1574260701637723e-09
1,219,219,d093,Drift,74.5293815,0,1.774317311215901e-15,5.3201654572926807e-10
1,220,220,sk_sex_12w,Sextupole,74.816032000000007,0,5.1002044871741223e-16,1.5292603846239048e-10
1,221,221,d094,Drift,75.041032000000001,0,1.2830201913133438e-15,3.8470456550672122e-10
1,222,222,det_i12w1,Marker,75.202032000000003,0,-2.6668490450233872e-27,8.8900069121971622e-22
1,223,223,d095,Drift,75.415532000000013,0,1.7087500896592091e-15,5.1246271545973417e-10
1,224,224,det_12w2,Marker,75.629032000000009,0,3.5835979213990107e-28,4.6365347836120358e-22
1,225,225,d096,Drift,75.781532000000013,0,1.2261325908411024e-15,3.677717949937354e-10
1,226,226,det_12w3,Marker,75.934032000000016,0,-1.0507029299947622e-42,4.8008240485032512e-37
1,227,227,d097,Drift,76.08653200000002,0,1.2319752138274092e-15,3.6955020902056179e-10
1,228,228,det_12w,Marker,76.239032000000023,0,-1.599234399365872e-28,4.1434881589827966e-23
1,229,229,d098,Drift,76.281732000000034,0,3.4665782123578768e-16,1.0398620405528298e-10
1,230,230,q12w,Quadrupole,76.624432000000027,0,2.1181398232035367e-15,4.0459943020091827e-10
1,231,231,d099,Drift,76.955657000000016,0,6.8824926102853423e-16,1.3536014961791675e-10
1,232,232,sex_12w,Sextupole,77.122882000000033,0.45238137688960001,5.6457008218694786e-12,2.3157889265693524e-06
1,233,233,d100,Drift,77.560193000000027,0,6.6413794423846223e-15,1.3061810101309686e-09
1,234,234,b13w,SBend,81.149147000000028,0,6.7892659921300373e-14,1.355221808071633e-08
1,235,235,d101,Drift,84.531417500000032,0,2.0448681070955198e-15,3.9957756358178451e-10
1,236,236,q13w,Quadrupole,84.92604500000003,0,6.8392341451828112e-15,1.1804779356998387e-09
1,237,237,d102,Drift,85.257445000000018,0,1.6039702879268604e-15,3.0981400460139417e-10
1,238,238,sex_13w,Sextupole,85.424845000000033,-0.64146307443520001,1.29843754570347e-11,4.8636539164146191e-06
1,239,239,d103,Drift,85.570645000000027,0,4.4525103755900176e-16,8.2994889193965246e-11
1,240,240,det_13w,Marker,85.580445000000026,0,-1.8347429433618756e-42,6.570144179909045e-37
1,241,241,d104!s1,Drift,85.980222500000011,0,1.8168567153626539e-14,3.3987785986272252e-09
1,242,242,d14bw_rfa4_seg,Marker,86.379999999999995,0,-1.5880893153666899e-43,8.0010674416777861e-37
1,243,243,d104!s2,Drift,87.170999999999992,0,3.5948337809204994e-14,6.7248253628934871e-09
1,244,244,d14bw_rfa1_aps,Marker,87.962000000000003,0,-1.3054035636747977e-42,3.7564579461211676e-37
1,245,245,d104!s3,Drift,88.009500000000003,0,2.1587181364539918e-15,4.0382958879541676e-10
