scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm,source_chunk
all,3.2000000000000002,600,600,1.1591832215429453e-05,4.9284400010761816e-05,3.7447437042866479e-05,0.00015902837911885488,9.2453560925036797e-06,4.1504139531211185e-05,2.8046170383943461e-05,0.00011215565648946019,5.8116666666666665,9.9772692970445826e-14,chunk_3
all,4.5300000000000002,600,600,2.3232689038560852e-05,9.9220897448802869e-05,7.5045732554296707e-05,0.00031934725382595764,1.8532108025197862e-05,8.3844795273515531e-05,5.6220783452543441e-05,0.00022570272490088426,6.4016666666666664,9.9907621592085592e-14,chunk_3
all,6.4000000000000004,600,600,4.6386159511782031e-05,0.00019937606289228486,0.00014982587146122859,0.00063963902569860937,3.7015168499673338e-05,0.00016932545553421491,0.0001123094134306994,0.00045740896042057843,7.0366666666666671,9.9682464727306766e-14,chunk_4
all,9.0500000000000007,600,600,9.281374303578025e-05,0.00040264883042370102,0.00029977226365098517,0.0012868312506427648,7.4134753811910874e-05,0.00034454884806480644,0.00022494968609459515,0.00094089120750511304,8.0416666666666661,9.9713385999165935e-14,chunk_4
all,12.800000000000001,600,600,0.00018593654798128745,0.00081761107594250813,0.00060052286994273735,0.0026026763693885371,0.00014884727247663703,0.00070794928835835134,0.00045160376450309144,0.0019652210009001667,9.1833333333333336,9.996416229443445e-14,chunk_4
all,18.100000000000001,600,600,0.00037296211320085858,0.0016725673150463527,0.0012048514651331079,0.0053101514997443795,0.00030004329642192802,0.0014775348147490492,0.00091052415746558789,0.0042101953492926468,10.49,9.9909656444405737e-14,chunk_4
all,25.600000000000001,600,600,0.00075124741478183185,0.0034638617068192298,0.0024294580232963295,0.01101978602312721,0.00061093121303517771,0.0032534798384386246,0.0018549476087510411,0.009508507978444717,12.645,9.9735575176377202e-14,chunk_5
all,36.200000000000003,600,600,0.0015272417178000405,0.007278132209854838,0.0049519060142371495,0.023440635110930093,0.0012726368709773566,0.0084723499523684173,0.0038675601953200847,0.025019592733901426,16.053333333333335,9.9723259553638339e-14,chunk_5
all,51.200000000000003,600,599,0.034588339362135782,7.6627174727038394,0.04178980548717353,7.6928842663886599,0.024442403029753017,4.8097323980912332,0.030416706408999825,4.8948687199033776,23.505843071786309,9.9985147985630161e-14,chunk_5
all,64,600,600,0.17339911233742464,26.840658924265089,0.18556021228888098,26.878373874137974,0.097590527956778583,5.3331664156711192,0.10990110455445956,5.404444339027501,31.521666666666668,9.9915741408856997e-14,chunk_5
horizontal,0.10000000000000001,600,600,5.7233536432683442e-09,2.4133428431276344e-08,1.7045701352147109e-08,7.8185281402940159e-08,1.5733151032852458e-20,4.7125119403430718e-20,4.339916849333038e-20,1.301205106548047e-19,2.8983333333333334,9.96140013434534e-14,chunk_1
horizontal,0.14000000000000001,600,600,1.121774730498466e-08,4.7301583867250457e-08,3.3409620330002009e-08,1.5319269548354903e-07,2.1787785620657378e-20,8.0782261139550039e-20,6.0219727773431317e-20,2.1859360392837705e-19,2.8816666666666668,9.9955867724275402e-14,chunk_1
horizontal,0.20000000000000001,600,600,2.2893286959871266e-08,9.6534028577499511e-08,6.8183061249260097e-08,3.1248377100130578e-07,3.1348820765822469e-20,9.2012523767350143e-20,8.6201738490664774e-20,2.2908964661465284e-19,2.9550000000000001,9.9965614031582592e-14,chunk_1
horizontal,0.28000000000000003,600,600,4.4870651544412073e-08,1.8920709484846354e-07,1.3363926294185664e-07,6.1206502738510174e-07,4.4125544246425336e-20,1.4532821638768428e-19,1.2159735554957907e-19,4.3838841097620911e-19,3.1516666666666668,9.9967330088417174e-14,chunk_1
horizontal,0.40000000000000002,600,600,9.1572179041674559e-08,3.861379269809283e-07,2.7273465846981248e-07,1.2478808126406896e-06,6.2684634615835694e-20,2.0530836200801576e-19,1.7232159349764202e-19,5.9879853120992336e-19,3.375,9.9702074785931467e-14,chunk_2
