element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
260,260,q15aw!s2,Quadrupole,100.5145,0,6.8779973808165663e-07,3.3785582692291867e-05
261,261,d15w_sp1_csp1,Marker,100.711,0,1.3095171332592021e-33,1.5812935769904282e-31
262,262,q15aw!s3,Quadrupole,100.72071500000001,0,3.4004959053887372e-08,1.6703660857841861e-06
263,263,d109!s1,Drift,100.73521500000001,0,1.6748711194925069e-08,8.2271762433914125e-07
264,264,d15w_sp2_csp1,Marker,100.73999999999999,0,6.8046044965079547e-33,7.7912105194442919e-32
265,265,d109!s2,Drift,100.77500000000001,0,1.2250885918437988e-07,6.0177882657750253e-06
266,266,d15w_sp3o_csp1,Marker,100.81,0,-1.1632836775532864e-17,3.5198454044978356e-17
267,267,d15w_sp3i_csp1,Marker,100.81,0,-1.1632836775532864e-17,3.5198454044978356e-17
268,268,d109!s3,Drift,101.10249700000003,0,1.0238135368416607e-06,5.0291000410971587e-05
269,269,det_15w,Marker,101.39499400000004,0,-8.4995922237452516e-35,1.1593303932702581e-32
270,270,d110,Drift,101.42869400000005,0,1.0050028434690908e-07,5.7531867366282642e-06
271,271,q15w,Quadrupole,101.76239400000004,0,7.7652895417502443e-07,2.1791201139508239e-05
272,272,d111,Drift,102.09484400000004,0,-2.7882528853740036e-08,6.9979771100079222e-06
273,273,sex_15w,Sextupole,102.26329400000004,-0.94264120352000003,0.12608628425514898,0.4177687957955592
274,274,d112,Drift,102.66736800000004,0,-2.4054377777186555e-07,5.9353380544115092e-05
275,275,b16w,SBend,106.22257300000004,0,3.0574468568499596e-05,0.00073644584993466894
276,276,d113,Drift,109.58827550000005,0,-7.3064903115040499e-08,1.7517455312786089e-05
277,277,q16w,Quadrupole,109.96684700000004,0,1.4014300534175098e-06,5.9376806985793776e-05
278,278,d114,Drift,110.30017200000003,0,2.9934284687663763e-07,1.6157888799142176e-05
279,279,sex_16w,Sextupole,110.46949700000005,0.38804889035840001,-0.033328240752184816,0.14161679600270652
280,280,d115,Drift,110.62437200000005,0,1.6954527336311856e-07,9.1516924556271629e-06
281,281,det_16w,Marker,110.64324700000004,0,-3.4796595349009434e-34,5.29058830801432e-33
282,282,d116,Drift,110.89156650000005,0,2.1668078431926038e-06,0.00012003387771810206
283,283,b17w,SBend,114.42701700000005,0,8.5410118982851279e-05,0.0016043982430135051
284,284,d117,Drift,117.79272000000006,0,6.8221850681828995e-07,3.7686453510782311e-05
285,285,q17w,Quadrupole,118.17129200000005,0,3.0321997124037137e-07,9.2072707920772237e-05
286,286,d118,Drift,118.50294200000005,0,4.9158914268922832e-08,3.8139372960373463e-05
287,287,sex_17w,Sextupole,118.67059200000006,-0.76890918149760001,-0.019619033605620825,0.38352175106933939
288,288,d119,Drift,118.83169200000006,0,1.8442892235970286e-07,3.000517186938412e-05
289,289,det_17w,Marker,118.85679200000006,0,-2.6870474699288035e-17,1.3340941216633653e-16
290,290,d120,Drift,119.10056550000006,0,2.0405610157299913e-06,0.00029259365722228252
291,291,b18w,SBend,122.63147000000006,0,-0.00026872900968941767,0.0046358951788679943
292,292,d121,Drift,125.99717250000008,0,6.6026956296665557e-07,9.4615709808565279e-05
293,293,q18w,Quadrupole,126.37574400000007,0,2.1638148638840984e-06,0.00035369149382986112
294,294,d122,Drift,126.70454400000006,0,1.9264600047829776e-07,3.5875193325921635e-05
295,295,sex_18w,Sextupole,126.86934400000007,0.23297390769040002,0.0038123126223738729,0.016406353268411691
296,296,d123,Drift,127.01924400000006,0,9.2978451617533601e-08,1.7314763445489753e-05
297,297,det_18w,Marker,127.03314400000006,0,8.5340748929093507e-33,4.9958241187208677e-31
298,298,d124,Drift,129.84824750000007,0,1.698466210715418e-05,0.0035049551760805374
299,299,det_19w,Marker,132.66335100000006,0,-3.9603316484029773e-33,7.0943118932920806e-32
300,300,d125,Drift,132.69955100000004,0,1.3021089693342128e-07,4.4917648643630422e-05
301,301,q19w,Quadrupole,133.03575100000003,0,3.748467286522206e-07,9.6985512660573153e-05
