lord_id,lord_name,lord_key,variable,step,observation_index,dx,dpx,dy,dpy,dz,dpz
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,901,9.088035083596596e-07,2.599944511256797e-07,-6.733136905350532e-06,1.2789391857164585e-06,2.9401345710947146e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,907,1.5304826624790158e-06,1.2227302474015524e-07,-6.06542479328169e-06,2.7957383394558617e-07,2.8466962553484396e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,924,4.926393054344863e-06,3.244281896827724e-07,4.81645558148263e-06,1.1019432613662406e-06,2.4388325243324648e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,942,1.284989493879462e-06,-6.944864199237392e-07,1.870526161805268e-05,2.0867811040628254e-06,2.440821779393053e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,948,-3.134551773524563e-06,-5.221480028135429e-07,1.1592657707046317e-05,-1.0250734523091064e-06,2.5477995630395715e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,960,-2.1514156233436166e-06,1.3084913975090501e-07,2.3137512975273267e-05,1.1850845541473579e-06,2.745344157518634e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,1177,-1.4694423022126868e-06,-3.7727730976214874e-07,-5.384083803929929e-06,4.778522244238727e-07,2.9422747856275473e-06,1.5305599642507703e-08
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,232,-7.771922211699533e-10,-5.204126986998688e-09,8.278787486278028e-09,6.121342746112732e-08,-6.843484112728504e-13,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,238,-4.894067475499225e-08,-1.9054430518768324e-08,4.667633423868778e-07,-4.844231527684987e-08,2.3190828597752233e-09,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,254,-1.8428173939079306e-07,-1.5421901348186898e-07,1.5939123049310729e-07,3.3660194911303704e-08,2.267235065054468e-09,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,273,-1.8252047984709373e-06,-3.4063864625061627e-07,4.5870621222850877e-07,-2.628765550711002e-08,8.193935401067456e-08,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,279,-4.106154180127247e-06,1.9108393101326115e-07,3.3389885517945417e-07,4.5797329858011764e-07,3.1489439116134943e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,287,-2.883801568473888e-06,-4.5470704675490414e-07,3.618684042737755e-06,-3.3712755143403515e-07,5.68092558997195e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,295,-5.823054187659298e-06,7.832674116305138e-07,9.866485770212118e-07,-1.2144240577353568e-07,9.150861276412472e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,303,-7.521676969419674e-07,5.459306778345108e-07,1.4298691148207504e-07,-1.852758839073252e-07,9.146693189096208e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,309,3.340836889683535e-06,-1.195411064786652e-07,-1.501073477214003e-06,-2.701784856224635e-07,8.137335533045867e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,317,2.5524665716539913e-06,1.0279678690439326e-07,-3.4240897664981895e-06,1.1695571118834017e-07,5.983928362313009e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,325,2.992459041141742e-06,-4.825466816627206e-07,-2.7720964022523442e-06,-3.490707683776145e-07,3.7835784838838836e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,333,-1.0381338673903437e-06,-6.410405647332227e-07,-5.095555697222712e-06,5.31824887974779e-07,2.921047073114417e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,345,-6.705998488280851e-06,5.4827335079226e-07,3.4158471949423397e-07,6.090532932861732e-07,6.4869414356729e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,353,-2.520613858099114e-06,-2.1757569324768605e-08,4.766025214026845e-06,-2.7981572937071757e-07,9.933837082456466e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,361,-2.3874008629395926e-06,3.128423276997031e-07,2.7789336585993737e-06,8.530778756061239e-08,1.1887367302532495e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,371,2.5568213941461887e-07,3.311069522460782e-07,3.169182540853875e-06,-3.659288862455914e-07,1.2733018788516548e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,379,2.6408995369231816e-06,-2.1796519694390962e-07,2.1611614757434568e-07,-2.6593362226407825e-07,1.160208550665177e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,389,8.920427027256372e-07,-9.309951523898616e-08,-1.844847099521582e-06,3.1225134525009364e-08,1.0287191863804566e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,399,-3.647629073788572e-10,-2.3362587878812333e-07,-1.7436291454729289e-06,-3.620197125609641e-07,9.95934091815344e-07,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,407,-2.1041571560760815e-06,-4.815255546456853e-07,-4.460773082729311e-06,1.928396666661539e-07,1.0677534982757048e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,415,-5.5652128037224705e-06,2.9206729041026704e-07,-3.1224634855801445e-06,-1.7474005292248264e-07,1.3636844049271478e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,463,2.521938296379516e-06,-3.7357621011403774e-08,4.074410851892182e-06,-2.0301751257759473e-07,1.362704355579265e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,471,1.910942831924445e-06,-6.73300747919053e-07,2.7471647818990558e-06,5.00806105542843e-07,1.1850112494732595e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,479,-4.1339503275639525e-06,-1.3149451534414953e-06,6.240868704416799e-06,-6.712153635094094e-07,1.2485474247634232e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,487,-1.3042124323114739e-05,1.5952757393954153e-06,8.863926527515856e-07,-4.2091657495081126e-07,1.9374156181813963e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,495,-4.870475702432875e-08,1.4160520609828725e-06,-2.3677630268774397e-06,-1.7207491503670974e-07,2.4571867263746853e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,503,1.0291871229816535e-05,-6.462021630141736e-07,-4.190160063323109e-06,-6.594862904201176e-07,2.0538792822453913e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,511,5.6344805155281045e-06,3.0891672504534604e-07,-8.499314785824497e-06,1.0386075213297645e-06,1.469109616768281e-06,0.0
