sample_index,beamline_index,s_m,element_name,orbit_x_m,orbit_px,orbit_y_m,orbit_py,orbit_z_m,orbit_pz,tune_1,tune_2,chromaticity_1,chromaticity_2,phi_1_turn,phi_2_turn,accumulated_chromaticity_1,accumulated_chromaticity_2,beta_1_m,beta_2_m,dbeta_1_ddelta_m,dbeta_2_ddelta_m,alpha_1,alpha_2,dalpha_1_ddelta,dalpha_2_ddelta
589,352,318.45439977919466,"""det_41w""",0.00016440243804640106,0.0011105895818009533,5.0206555459255286e-5,-2.998766041991523e-6,0.0026056200211252,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.141664840120137,3.930946362843213,-0.26397381614207654,-3.357422882005874,7.322841269187151,29.417742150272275,21.698930810659032,144.7687207928633,-0.49111418431242093,1.9904434454694575,-7.648209832306098,72.3488785109365
590,353,318.45439977919466,"""d176""",0.00016440243804640106,0.0011105895818009533,5.0206555459255286e-5,-2.998766041991523e-6,0.0026056200211252,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.141664840120137,3.930946362843213,-0.26397381614207654,-3.357422882005874,7.322841269187151,29.417742150272275,21.698930810659032,144.7687207928633,-0.49111418431242093,1.9904434454694575,-7.648209832306098,72.3488785109365
591,354,318.94383977919466,"""b42w""",0.0007079697381860666,0.0011105895818009533,4.8738838502508265e-5,-2.998766041991523e-6,0.0026053181787411843,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.151949949920817,3.933684740676275,-0.3084031323830744,-3.370780449133002,7.844187212367625,27.509740665087705,28.749312456179236,77.96165894416666,-0.5740725160628215,1.9078899733320498,-7.821563617883923,68.04584202337621
592,355,325.51810177919464,"""d177""",0.008001694148481397,0.0011086889789015653,2.8954990618374e-5,-3.015298232888615e-6,0.002275381979821134,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.233924296754307,3.9997129215535208,-0.8247916402621681,-2.0233817730557084,22.66806793974571,9.671490702659957,132.52893384197841,-418.14889258922096,-1.6792099264371856,0.8015244981460456,-10.106983087747103,9.962519807566299
593,356,325.67524177919466,"""q42w""",0.008175913641701353,0.0011086889789015653,2.8481166362845324e-5,-3.015298232888615e-6,0.0022752854014610733,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.235014883202786,4.002332717470894,-0.8322470720191572,-1.9108643109956167,23.199971983178077,9.423780869477289,135.18227053968798,-420.8143684723275,-1.705689288998591,0.7748384962472924,-10.16101222114155,8.57594222756494
594,357,326.2752417791947,"""d178""",0.008497218080397386,-4.504479654724976e-5,2.7829463755627132e-5,8.280489555591622e-7,0.0022751660002109588,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.239063391915245,4.012679196915136,-0.859831027798418,-1.4316985964912687,23.333952189636204,9.30357489419807,135.91706227081772,-463.93339012233093,1.4885624002803637,-0.5690182990126712,8.747273130454818,65.45408860252574
595,358,326.3411417791947,"""sex_42w""",0.00849424962830191,-4.504479654724976e-5,2.788403218185386e-5,8.280489555591622e-7,0.0022751659333317058,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.239514775444788,4.013801994749597,-0.8629134400855923,-1.3765354007388173,23.138358178239688,9.379189433388685,134.96052369174834,-472.6404280489959,1.4794802522409023,-0.578395041106173,8.735710038150792,65.52351221302402
596,359,326.6131417791947,"""d179""",0.008481454443476498,-4.903543943403953e-5,2.8112837973759116e-5,8.543758197942816e-7,0.002275165632105174,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.241418890157911,4.018339794268435,-0.8759072054029061,-1.1478508427294145,22.33793435190778,9.706817509521324,129.35441540570903,-508.12507981746944,1.462997501897958,-0.6262206481139366,14.725103752596691,63.718519466812964
597,360,326.6369417791947,"""det_42w""",0.008480287400016565,-4.903543943403953e-5,2.8133172118294674e-5,8.543758197942816e-7,0.0022751656034832434,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.241588726802682,4.018729424855886,-0.8770596585038594,-1.1278143580007505,22.26837530310794,9.736706851263504,128.72360973066492,-511.1884560073782,1.4596515967964623,-0.6296340454246746,14.701919411561926,63.73892042503952
598,361,326.6369417791947,"""d180""",0.008480287400016565,-4.903543943403953e-5,2.8133172118294674e-5,8.543758197942816e-7,0.0022751656034832434,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.241588726802682,4.018729424855886,-0.8770596585038594,-1.1278143580007505,22.26837530310794,9.736706851263504,128.72360973066492,-511.1884560073782,1.4596515967964623,-0.6296340454246746,14.701919411561926,63.73892042503952
599,362,327.1482817791947,"""b43w""",0.008455213618386208,-4.903543943403953e-5,2.857004865051367e-5,8.543758197942816e-7,0.0022751649885446646,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.245369369499592,4.026813231317532,-0.9022533780368732,-0.6993590564379208,20.812377168722428,10.418120838039178,115.39892092449622,-577.2785105519253,1.3877652474435802,-0.7029704563857189,14.203806766827835,64.17723244098988
600,363,333.72254377919467,"""d181""",0.008121285203049666,-5.2565258134906654e-5,3.414749826820167e-5,8.41030378206581e-7,0.0016549083008339238,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.3269797507326295,4.092461317004242,-1.1476881691689553,3.144995084733757,8.61383768238387,25.819870261416135,-17.40394903441403,-1470.3851841774522,0.466676201750294,-1.6362656047718092,7.760506495820279,69.1760689465043
601,364,333.8796837791947,"""q43w""",0.008113025098374933,-5.2565258134906654e-5,3.4279657782015686e-5,8.41030378206581e-7,0.0016549080836810815,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.329907772974429,4.093420373327922,-1.1442572210551007,3.198521619280734,8.470661670517886,26.337632685436066,-19.67542026587094,-1492.6633388740684,0.4444604361047052,-1.6586460873759352,7.605698420204133,69.30168594778546
602,365,334.4796837791947,"""d182""",0.008430582905632816,0.0011186273516530939,3.332108767374039e-5,-4.013448902394663e-6,0.0016547898509121312,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.34119751503452,4.097012781812977,-1.1225033660202395,3.396487409915615,8.70436500758988,26.076375707411316,-30.923670199916106,-1447.0242183306882,-0.8450110448627405,2.0815843746567104,11.283546602201733,-142.74965360690433
603,366,334.5410837791947,"""sex_43w""",0.008499266667997812,0.0011186273516530939,3.30746617569516e-5,-4.013448902394663e-6,0.0016547514346380062,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.342313514811253,4.097389376852997,-1.1195827708035921,3.416982592581721,8.808874933365145,25.82152799822248,-32.42011898683833,-1429.2836455571269,-0.8571018152449802,2.0690271845784545,11.387192304981834,-142.03458788041104
604,367,334.8130837791947,"""d183""",0.008803647247674008,0.00111947366919342,3.1982137841150596e-5,-4.019811848533301e-6,0.001654581124516132,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.347099668294404,4.099103209566322,-1.105466401007083,3.509586246759014,9.290190940938352,24.70978141234303,-39.13583043018099,-1351.9323564909205,-0.9124800512177502,2.0182323862816944,11.527954069179767,-138.26385303380414
605,368,334.8433837791947,"""det_43w""",0.008837567321105529,0.00111947366919342,3.1860337465817616e-5,-4.019811848533301e-6,0.0016545621379508442,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.347617211768969,4.099298855148943,-1.103789053208917,3.5200876854191696,9.345668442739326,24.58766494998392,-39.891375332291105,-1343.4420751209514,-0.9184571604082583,2.0120113707535907,11.577365168093657,-137.9136411340276
