sextupole,sextupole_s_m,quadrupole,quadrupole_inventory_index,quadrupole_ring_index,quadrupole_s_m,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,closed_orbit_seconds,twiss_seconds,selected,selected_rank
SEX_14W,92.33155300000003,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.006776626925198767,0.0063460198536148295,-2.6493090232099528e-5,0.002376973178019849,-1.0620732030606298e-6,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_15W,102.26329400000003,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.003740445794133924,-0.0023994582277468363,-0.0014199607843804743,-0.002453365382494832,0.0004452466989768112,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_16W,110.46949700000003,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.007307860308484654,-0.007037729571291934,-0.0012835559851471967,0.0008248688771521346,0.001243889118123898,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,1,15
SEX_17W,118.67059200000004,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.007214520252590666,0.00682294078100897,-0.00039087158870716016,0.0017151561478241368,0.001549916244062303,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_18W,126.86934400000005,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.002850549235956252,0.001067693269990835,0.000331890668532221,-0.0026220683134339407,1.638205280096723e-5,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_19W,133.53465100000005,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.004791515785046997,-0.003942134183920323,-0.0015700451240670177,-0.0020579615928742,0.0008473216537829381,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_20W,141.74255400000004,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.007214897011057852,-0.0067712687874020615,-0.0009977513822674892,0.0018057216308720026,0.0013958937853255178,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_21W,149.94449100000006,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.007187180336048472,0.006996648602385056,-5.55143129226207e-5,0.00047109143216268225,0.0015739950893280147,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_22W,158.15117800000007,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.003323648406714458,0.0010405769956001686,0.0011413071295730856,-0.0026254858338091453,0.0013296918515717931,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_23W,166.3549160000001,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.007013978644347969,-0.006810528818401853,0.0015481893482615196,-3.7864620991351096e-5,0.0006436378247850088,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_24W,176.5575180000001,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.005973466731486212,0.004459849210751757,-0.0015717772891011533,0.0035766293396345436,0.0007275221851329997,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_25W,184.7633210000001,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.0032640306471446484,-0.001003996387721374,-0.0007447526399323501,-0.00262646686790976,0.0014808452370278387,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_26W,192.9697580000001,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.007302912812069703,-0.007014142965925029,0.0009080674981454079,0.0011236546132823645,0.001430785701325479,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_27W,201.39945100000008,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.004705773266176028,0.0016285837186443106,0.0010738574300379856,0.0042772465557430915,0.00020978375856997168,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
