trial,element_order,element_name,s_m,k2l_m2,source_exposure_h,source_exposure_v,total_projection_numerator,total_contribution_norm_m
2,57,sex_27e,567.03492163697217,-0.40346848000000007,1.7601551430694211e-09,1.1047115563559347e-08,-8.439275672111833e-14,1.7086139977514397e-07
2,58,sex_26e,575.46526363697228,0.23959555200000002,1.8575380436183201e-08,2.1957599230494038e-12,-1.4121225107509839e-13,6.9837034466797934e-07
2,59,sex_25e,583.66900563697232,-0.39789247999999999,2.5967029848724174e-08,1.2641698570140457e-08,-3.4576843351401122e-14,2.8376825517603237e-07
2,60,sex_24e,591.8725476369724,0.13653937599999999,4.322821708488697e-08,2.7807445694278716e-10,7.8274907549973739e-13,1.8543327760147715e-06
2,61,sex_23e,602.07849063697256,-0.52328991999999996,8.1862820554372693e-09,4.3455456339232828e-09,-3.7255827852851204e-14,6.6263371140183488e-08
2,62,sex_22e,610.28253263697263,0.26098780799999999,6.3991792565291574e-09,1.7282604075589984e-09,5.8592042482787346e-14,1.6377598646597064e-07
2,63,sex_21e,618.48397463697256,-0.23266553600000003,1.3314981312585615e-08,5.8724866994117869e-09,-4.9044096597497319e-15,1.5650648418736794e-07
2,64,sex_20e,626.68821663697258,0.033397248000000004,1.2971844389388749e-08,2.3345612187095492e-10,-1.5938735862701325e-13,5.4659048702730982e-07
2,65,sex_19e,634.89685863697264,-0.21855716800000005,2.237699426893315e-08,1.4472776412231092e-09,2.4071547829196409e-13,4.9307249701213837e-07
2,66,sex_18e,641.55715863697264,0.078795680000000007,1.2406999418800076e-08,1.1660450982080504e-10,-2.9147455812812633e-13,4.8352927258931247e-07
2,67,sex_17e,649.75740063697265,-0.12589873600000001,1.6008557787011637e-09,2.4241246890673485e-11,2.1768123641909275e-14,3.6242091058188517e-08
2,68,sex_16e,657.96494263697275,0.11064116800000003,3.4729708522664927e-10,8.3657592851310484e-11,-5.3587934043078911e-15,1.158998089795764e-08
2,69,sex_15e,666.17098463697289,-0.34512176,4.5264163889815091e-09,4.0644059634027334e-09,3.8156415056632627e-16,5.394467752027727e-09
2,70,sex_14e,676.29422663697289,-0.003429376,3.4583661487616143e-10,1.1355009304872499e-11,-7.6943154268100508e-15,1.3150011392858838e-08
2,71,sex_13e,684.49771863697299,0.32600287999999999,1.5876666271556256e-09,2.1379510394044363e-09,-8.1298810862676735e-15,1.5074045695134669e-08
2,72,sex_12e,693.16336063697304,0.123680304,3.3675393670065806e-09,9.36363198304525e-12,1.9566128601861827e-14,1.1014277230496895e-07
2,73,sex_11e,701.36620363697307,-0.19755985600000003,5.7915585766540107e-09,2.6336066605687768e-09,1.8923026720885582e-14,5.2367848280568984e-08
2,74,sex_10e,709.57139563697319,-0.052495728000000005,5.8354746857342138e-09,1.1938889430424128e-10,1.4054048833173632e-13,2.1050703505967693e-07
2,75,sex_09e,716.0820656369732,-0.24212868800000004,5.6450351910120208e-09,3.0036096215084513e-10,8.1406884631413479e-14,1.2462882143811817e-07
2,76,sex_08e,725.51569563697308,0.043414736000000002,1.5413573193534052e-13,2.2031044254118454e-10,3.10091841886739e-15,7.8773453963927705e-09
3,1,sex_08w,42.907498779194896,0.043392432000000002,1.7932736959657014e-10,8.0472716359090401e-09,-2.2582837087656511e-13,2.8107542944084038e-07
3,2,sex_09w,52.349828779194894,-0.24198398400000001,4.32482506289087e-11,2.0976073463113818e-07,2.35336320480332e-11,4.9951233714114852e-06
3,3,sex_10w,58.855398779194893,-0.052531632000000002,5.5479215147458007e-12,2.1233408109227423e-08,4.7264641926462695e-12,7.883868072062243e-07
3,4,sex_11w,67.328070779194874,-0.19752585600000003,2.6884968927638338e-11,1.8064245479328443e-07,1.558891466454926e-11,2.9514852992885746e-06
3,5,sex_12w,75.264033779194875,0.12366072000000002,1.1522895341623431e-11,1.6291038763337154e-08,-5.9449839312028041e-13,5.5476411195663013e-07
3,6,sex_13w,83.932825779194872,0.32583968000000002,1.2692483873574307e-09,1.2436906818719219e-08,8.0112437999074427e-13,2.255443083331414e-07
3,7,sex_14w,92.133917779194874,-0.0034363392000000001,9.2009797656070425e-11,5.5092306228021002e-11,9.1526481468542993e-15,1.6534743761116944e-09
3,8,sex_15w,102.25810977919487,-0.34508368000000006,3.8152597422005168e-11,1.4088059895893296e-07,-5.6875868389880367e-12,2.1544165270485701e-06
3,9,sex_16w,110.46430177919487,0.11048177600000003,7.5255980527741156e-10,1.6335279361705736e-08,-7.1064622963834233e-13,6.9457416175399428e-07
3,10,sex_17w,118.66539277919487,-0.125842432,3.4799182491808608e-10,3.8775572006104876e-08,2.9825098027206886e-12,9.4816531480997859e-07
3,11,sex_18w,126.86413477919487,0.078568559999999996,4.7607207232326404e-10,1.5308446768886159e-10,6.987785413750287e-14,1.5487072109731948e-08
3,12,sex_19w,133.52943477919487,-0.21847203200000001,3.616438580578786e-10,1.757446272248118e-08,2.040270503480255e-12,4.1065431385569673e-07
3,13,sex_20w,141.73732677919489,0.033388272000000004,7.9251700510941668e-11,2.1450093664695023e-09,-3.9882017072710824e-13,8.7503736031165766e-08
3,14,sex_21w,149.93926877919489,-0.23265928000000002,2.0606665579435474e-13,4.6135800768065925e-08,2.8450508846884175e-12,9.6327100146350522e-07
3,15,sex_22w,158.14596077919489,0.26101228800000004,2.546542160860503e-10,4.2074263746472704e-12,3.6625901495010465e-15,9.2027215828033637e-09
3,16,sex_23w,166.3497027791949,-0.52340416000000001,2.9290128501909944e-11,8.2473093332469756e-08,-4.2855412216476739e-12,1.4115892840450762e-06
3,17,sex_24w,176.55229577919491,0.13662179200000002,9.910524800610028e-10,1.0537999348224459e-08,1.8029942407306767e-12,4.3210932960074374e-07
3,18,sex_25w,184.75808777919491,-0.39794144000000004,2.4352400310360701e-09,8.1093194370221464e-08,-5.9725776002531219e-12,1.6772493519165237e-06
3,19,sex_26w,192.96452977919492,0.23971496000000006,7.0354379461978267e-09,3.7732418968727501e-10,-4.8374579291862525e-13,2.4658494011283342e-07
3,20,sex_27w,201.39422177919491,-0.40337600000000007,1.3174183178516136e-09,1.0398907738037025e-07,1.6840855579905078e-12,1.9684770484256853e-06
3,21,sex_28w,209.59741377919488,0.14284324800000006,7.972300062060833e-11,1.5959325627463368e-08,-1.7140196703238755e-12,6.4159682381235017e-07
3,22,sex_29w,218.02560577919488,-0.14515660800000002,2.7875579554292688e-10,3.6573364579430089e-08,2.8481003362740102e-12,7.9455601344017844e-07
3,23,sex_30w,227.30979777919487,0.28505872000000004,6.5051347582862273e-09,2.7553144387827976e-10,7.3784647591039195e-13,2.2366566045536708e-07
3,24,sex_31w,235.74123977919484,-0.50427440000000001,3.2039433311339535e-09,5.0509493202385904e-08,1.2380074080237376e-12,8.4044755881398921e-07
3,25,sex_32w,243.94043177919482,0.30627744000000001,1.0429615831617749e-09,2.9844277716215092e-08,1.0569000264428406e-12,9.7223940225722864e-07
3,26,sex_33w,252.37312377919483,-0.49414784,3.0115053469319452e-09,1.557413462029329e-07,-1.0328413728585058e-11,4.2665045308498051e-06
3,27,sex_34w,258.31562377919488,0.17423313600000001,8.6162903385893279e-09,2.3240982766928681e-08,1.837768543218479e-12,6.5829077559005406e-07
3,28,sex_35w,266.24257577919491,-0.16527236800000006,5.0048020354095206e-09,3.4408863724095611e-08,-2.0463277991417033e-12,6.8988615191662285e-07
3,29,sex_36w,277.21423877919494,0.16991948800000006,1.099657731294229e-08,1.2038401177277019e-09,-6.0003646212130508e-13,3.2284588360983239e-07
3,30,sex_37w,285.22943077919501,-0.037644799999999999,2.5756907372257897e-10,3.0897244160629565e-10,2.2506548539232163e-16,9.5355695707835534e-10
3,31,sex_38w,293.43187277919503,0.20518374400000003,1.2658560787254744e-11,8.9689234376155813e-09,-6.0397264262247357e-13,3.4749596886416302e-07
3,32,sex_39w,301.86131477919503,-0.45719936,2.9194583126236352e-09,1.1803865229723298e-07,6.9480610946158786e-12,2.6451846884536251e-06
3,33,sex_40w,310.06725677919508,0.24519304000000003,9.4492359378482956e-09,2.5020954490679127e-08,-1.5763662968230177e-12,5.8821265467390925e-07
3,34,sex_41w,318.27219977919515,-0.49659312,2.8617077313465686e-09,9.0154667487823042e-08,3.0450373825621492e-12,1.7552912238807957e-06
3,35,sex_42w,326.47714177919516,0.11078288,9.1953213663135371e-11,1.4506302106264296e-09,-1.3469541769146035e-14,4.9394834852732877e-08
3,36,sex_43w,334.67708377919519,-0.022612475200000003,3.4464958614900976e-11,7.7618614121169074e-11,-1.1426130921445534e-15,1.0214252061196559e-09
3,37,sex_44w,345.68227077919528,-0.10419966400000001,3.4114025275830106e-10,1.0155248004587509e-08,-5.2134082979589722e-13,2.3972794822291685e-07
3,38,sex_45w,352.02348077919538,0.039331744000000002,1.5327069320442888e-10,2.268773980744191e-09,1.9632698103132779e-13,9.445579885716508e-08
3,39,sex_45e,416.40351263697164,0.039202544000000006,2.4067158180913603e-09,2.3185986628325258e-09,-1.2686673634191467e-15,7.0653143001649801e-10
