matrix,mode,singular_value,energy_fraction,cumulative_energy_fraction
periodic_kick_152x152,106,2.263988475586458,7.342005007143138e-06,0.9997461651813174
periodic_kick_152x152,107,2.2533924130253187,7.273440797101926e-06,0.9997534386221145
periodic_kick_152x152,108,2.2446317239019606,7.216995689695905e-06,0.9997606556178043
periodic_kick_152x152,109,2.2270162082269445,7.104164487197656e-06,0.9997677597822915
periodic_kick_152x152,110,2.210547422534692,6.999482387677238e-06,0.9997747592646792
periodic_kick_152x152,111,2.2086791814856404,6.987656181824679e-06,0.999781746920861
periodic_kick_152x152,112,2.1866586730761,6.8490170411400445e-06,0.9997885959379021
periodic_kick_152x152,113,2.1819571900748804,6.819596884456228e-06,0.9997954155347866
periodic_kick_152x152,114,2.168697165224293,6.736961667411805e-06,0.999802152496454
periodic_kick_152x152,115,2.1540647338895993,6.646358357740663e-06,0.9998087988548118
periodic_kick_152x152,116,2.148585661520199,6.612590045948383e-06,0.9998154114448577
periodic_kick_152x152,117,2.1256484139944303,6.472158118614871e-06,0.9998218836029764
periodic_kick_152x152,118,2.1167816792481253,6.418275999960541e-06,0.9998283018789764
periodic_kick_152x152,119,2.1160657750664704,6.41393535994986e-06,0.9998347158143364
periodic_kick_152x152,120,2.096915027515915,6.298366330997413e-06,0.9998410141806674
periodic_kick_152x152,121,2.071821738566646,6.148526141776599e-06,0.9998471627068092
periodic_kick_152x152,122,2.0635809894730257,6.099711427237206e-06,0.9998532624182365
periodic_kick_152x152,123,2.0535644069169448,6.040639378704709e-06,0.9998593030576152
periodic_kick_152x152,124,2.028517145476116,5.8941830381216415e-06,0.9998651972406533
periodic_kick_152x152,125,2.0257361232317574,5.878032701050131e-06,0.9998710752733543
periodic_kick_152x152,126,2.0218053599542993,5.855243219185462e-06,0.9998769305165734
periodic_kick_152x152,127,2.0201653019688526,5.84574770224881e-06,0.9998827762642757
periodic_kick_152x152,128,2.0061783233321075,5.765079755872765e-06,0.9998885413440316
periodic_kick_152x152,129,1.9991968461516785,5.725024752125918e-06,0.9998942663687838
periodic_kick_152x152,130,1.9900989732695207,5.673036842053949e-06,0.9998999394056258
periodic_kick_152x152,131,1.9856224389479453,5.647543655969295e-06,0.9999055869492818
periodic_kick_152x152,132,1.9809251343768977,5.620854942403884e-06,0.9999112078042242
periodic_kick_152x152,133,1.9768100258150454,5.597526041474853e-06,0.9999168053302656
periodic_kick_152x152,134,1.9662945140649013,5.538133083254875e-06,0.9999223434633489
periodic_kick_152x152,135,1.9384087842344029,5.382164794432279e-06,0.9999277256281432
periodic_kick_152x152,136,1.931234973038899,5.3424010585465574e-06,0.9999330680292018
periodic_kick_152x152,137,1.9283275275753005,5.3263273567080745e-06,0.9999383943565585
periodic_kick_152x152,138,1.9078348237153047,5.213721106784719e-06,0.9999436080776652
periodic_kick_152x152,139,1.8706689834959402,5.012566458678008e-06,0.9999486206441239
periodic_kick_152x152,140,1.86898551081145,5.003548592080301e-06,0.999953624192716
periodic_kick_152x152,141,1.8501448451346394,4.903178598452146e-06,0.9999585273713145
periodic_kick_152x152,142,1.8449322458329427,4.875589081434189e-06,0.999963402960396
periodic_kick_152x152,143,1.8353940223548821,4.825306210302312e-06,0.9999682282666063
periodic_kick_152x152,144,1.8223289439003298,4.756853746565927e-06,0.9999729851203528
periodic_kick_152x152,145,1.819177124896484,4.740413491147127e-06,0.999977725533844
periodic_kick_152x152,146,1.7925536931475068,4.602678063193512e-06,0.9999823282119072
periodic_kick_152x152,147,1.7920866423649944,4.600279915401789e-06,0.9999869284918227
periodic_kick_152x152,148,1.7800760385353278,4.538824193625374e-06,0.9999914673160163
periodic_kick_152x152,149,1.6712229789117221,4.000691372094082e-06,0.9999954680073884
periodic_kick_152x152,150,1.3583244043421505,2.6428545343013906e-06,0.9999981108619227
periodic_kick_152x152,151,0.8226777315697376,9.694507176306173e-07,0.9999990803126403
periodic_kick_152x152,152,0.8012849441481711,9.196873604123419e-07,1.0000000000000007
sextupole_source_152x152,1,123.89555895922032,0.2971939220283604,0.2971939220283604
sextupole_source_152x152,2,83.985352717152,0.13656378513153847,0.4337577071598989
sextupole_source_152x152,3,72.00093509389568,0.10037018350065186,0.5341278906605508
sextupole_source_152x152,4,64.77764059615846,0.08124164262693108,0.6153695332874819
sextupole_source_152x152,5,59.55166917650056,0.06866197989620576,0.6840315131836876
sextupole_source_152x152,6,59.37661507596383,0.06825890487415888,0.7522904180578465
sextupole_source_152x152,7,58.19584913626592,0.06557109910136286,0.8178615171592093
sextupole_source_152x152,8,45.37980714861543,0.03987068861125489,0.8577322057704642
sextupole_source_152x152,9,32.11082746788907,0.019963258887776083,0.8776954646582402
sextupole_source_152x152,10,30.463827528753427,0.01796790242696742,0.8956633670852077
sextupole_source_152x152,11,22.090914027246367,0.009448346582358068,0.9051117136675657
sextupole_source_152x152,12,20.982870749291582,0.00852429077290884,0.9136360044404745
sextupole_source_152x152,13,20.966471322791023,0.008510971446588507,0.9221469758870631
sextupole_source_152x152,14,20.58518283896696,0.008204231420203403,0.9303512073072665
sextupole_source_152x152,15,19.843068133072425,0.007623354079614683,0.9379745613868812
