rho,trial,fd_x_qhh_rmse_m,gtpsa_x_qhh_rmse_m,relative_difference_x_qhh_rmse_m,fd_x_qhv_rmse_m,gtpsa_x_qhv_rmse_m,relative_difference_x_qhv_rmse_m,fd_x_qvv_rmse_m,gtpsa_x_qvv_rmse_m,relative_difference_x_qvv_rmse_m,fd_y_qhh_rmse_m,gtpsa_y_qhh_rmse_m,relative_difference_y_qhh_rmse_m,fd_y_qhv_rmse_m,gtpsa_y_qhv_rmse_m,relative_difference_y_qhv_rmse_m,fd_y_qvv_rmse_m,gtpsa_y_qvv_rmse_m,relative_difference_y_qvv_rmse_m
0.56999999999999995,6,4.3603488670728691e-08,4.3603484626107569e-08,9.2759125925385792e-08,4.9928364220033811e-10,4.9928565427734402e-10,4.0299115119265965e-06,1.633458779634943e-07,1.6334583338701675e-07,2.7289632446886939e-07,7.8191995508566399e-10,7.8191981876846905e-10,1.7433653895421189e-07,1.1925428395281107e-07,1.1925433718932006e-07,4.4641151216137869e-07,2.4103664447903895e-09,2.4103767077316256e-09,4.2578163003205016e-06
0.80000000000000004,6,8.5891770902746445e-08,8.589175180273578e-08,2.2237304821776311e-07,9.8350385989602691e-10,9.8351129189750787e-10,7.5566000534920311e-06,3.2176475960362987e-07,3.2176464563770623e-07,3.5419032260962716e-07,1.5402548382780176e-09,1.5402544906488778e-09,2.2569591058274398e-07,2.3491138373486333e-07,2.3491159064686014e-07,8.8080795092842713e-07,4.748008550650355e-09,4.7480489164304114e-09,8.5015510090177069e-06
1.1299999999999999,6,1.7136753996387135e-07,1.71367465432677e-07,4.3492032843844358e-07,1.9622323867138164e-09,1.9622587009748863e-09,1.341018952131099e-05,6.4197119805169196e-07,6.4197074377310446e-07,7.0763129302593236e-07,3.0730499470908337e-09,3.0730483736086737e-09,5.1202648600440031e-07,4.6868450520211707e-07,4.6868532827652432e-07,1.7561343562559159e-06,9.472938652133131e-09,9.4730994709218603e-09,1.6976364411979455e-05
0.10000000000000001,7,2.052908258291969e-09,2.0529173449968278e-09,4.4262399949651408e-06,3.4857761727092479e-11,3.485702850618754e-11,2.1035094968235693e-05,1.7838609072585801e-09,1.783859924634374e-09,5.5084157256113086e-07,4.0986610510535667e-11,4.0986623573605056e-11,3.1871543078075609e-07,5.5980053005923473e-09,5.5980052190420351e-09,1.4567744936926582e-08,6.433064972346521e-11,6.4330670417756774e-11,3.216862412569082e-07
0.14000000000000001,7,4.0237178798260653e-09,4.0237179961937826e-09,2.892044556771609e-08,6.8319107456582448e-11,6.8319775872127561e-11,9.7836319949869116e-06,3.4963642588283988e-09,3.4963654522833735e-09,3.413415991602736e-07,8.0333770250999362e-11,8.0333782204265914e-11,1.4879501777747096e-07,1.0972090067957003e-08,1.0972090229322386e-08,1.4706895378138144e-08,1.2608809026388736e-10,1.2608811401880327e-10,1.8839932769070861e-07
0.20000000000000001,7,8.2116685605464242e-09,8.2116693799873112e-09,9.9789805108917561e-08,1.3942757743869577e-10,1.3942811402475016e-10,3.8484781791704283e-06,7.1354397955843654e-09,7.1354396985374961e-09,1.3600685226448319e-08,1.6394649411224359e-10,1.6394649429442022e-10,1.111195639656005e-09,2.2392020683994374e-08,2.239202087616814e-08,8.5822430864306249e-09,2.5732272394824185e-10,2.573226816710271e-10,1.6429649528569132e-07
0.28000000000000003,7,1.6094868581291627e-08,1.609487198477513e-08,2.1146384430446256e-07,2.732813804900918e-10,2.7327910348851024e-10,8.3321467045676148e-06,1.3985460089431797e-08,1.3985461809133494e-08,1.2296352604236101e-07,3.2133517709077402e-10,3.2133512881706365e-10,1.5022854970074572e-07,4.3888360776455745e-08,4.3888360917289544e-08,3.208909974106998e-09,5.0435245635292565e-10,5.0435245607521309e-10,5.5063190241684254e-10
0.40000000000000002,7,3.2846663511163702e-08,3.2846677519949245e-08,4.264901841040125e-07,5.577123504395658e-10,5.5771245609900065e-10,1.8945145243514464e-07,2.8541751193715011e-08,2.8541758794149984e-08,2.6629175267402312e-07,6.5578595403736323e-10,6.5578597717768089e-10,3.5286386825723206e-08,8.9568081825272275e-08,8.9568083504672562e-08,1.874998571966643e-08,1.0292906564051387e-09,1.0292907266841084e-09,6.8279027333854996e-08
0.56999999999999995,7,6.6699267606778507e-08,6.6699284538946913e-08,2.5385832131452236e-07,1.1325041536914335e-09,1.1325048561660327e-09,6.2028396195887048e-07,5.7957585546791841e-08,5.7957608951370793e-08,4.0382236905950315e-07,1.3316554526987507e-09,1.3316553999064278e-09,3.9644132347772031e-08,1.818791908562837e-07,1.8187918956667564e-07,7.0904651725897702e-09,2.0901034528548628e-09,2.0901034818729171e-09,1.3883549062016272e-08
0.80000000000000004,7,1.3138664921293266e-07,1.3138671007979698e-07,4.6326500059872393e-07,2.230846910159409e-09,2.2308498243960026e-09,1.3063347257876536e-06,1.1416693753605821e-07,1.1416703517659994e-07,8.5524286040054687e-07,2.6231444794138848e-09,2.6231439087107236e-09,2.1756456417773937e-07,3.5827233892010722e-07,3.5827233401869025e-07,1.3680701833328939e-08,4.1171627729181485e-09,4.1171629067364336e-09,3.2502548025500792e-08
1.1299999999999999,7,2.6213679807566383e-07,2.6213701578264485e-07,8.3050835216393999e-07,4.4508707364847801e-09,4.4508939699550852e-09,5.2199559148932064e-06,2.2778070071936106e-07,2.2778107377656313e-07,1.6377884074611955e-06,5.2335843995708974e-09,5.2335819641136268e-09,4.6535189231823944e-07,7.1480930640180469e-07,7.1480928641947701e-07,2.7954767883766827e-08,8.2143823655143103e-09,8.2143833056433584e-09,1.1444913307605058e-07
