lambda2,rho,trial,active_rms_rad,max_closure_norm,y_even_rmse_m,y_odd_nl_rmse_m,y_odd_over_rho3_rmse_m
0,0.40000000000000002,22,2.0000000000000003e-06,2.1749460162138783e-14,4.3179948323973932e-10,1.0927700050540762e-09,1.7074531328969936e-08
0,0.56999999999999995,22,2.8499999999999998e-06,9.2738793918957839e-14,8.768295738242727e-10,3.1621289008804558e-09,1.7074775509227976e-08
0,0.80000000000000004,22,4.0000000000000007e-06,3.0368840186631693e-14,1.7272534474649949e-09,8.7424954964479563e-09,1.7075186516499911e-08
0,1.1299999999999999,22,5.6500000000000001e-06,9.4041766139285163e-14,3.4462879303859713e-09,2.4639003348742295e-08,1.7076065269206537e-08
0,1.6000000000000001,22,8.0000000000000013e-06,7.8970197490997288e-14,6.90990130295226e-09,6.9950826608868253e-08,1.7077838527555721e-08
0,2.2599999999999998,22,1.13e-05,4.0537995904336051e-15,1.3788680912801548e-08,1.9717311338221181e-07,1.708135727829255e-08
0,0.40000000000000002,23,2.0000000000000003e-06,8.9443897325652959e-14,1.6664481491179427e-10,2.0296556326119973e-10,3.171336925956245e-09
0,0.56999999999999995,23,2.8499999999999998e-06,9.8091945545356973e-14,3.3839444788487434e-10,5.8731321361739993e-10,3.1713575222465214e-09
0,0.80000000000000004,23,4.0000000000000007e-06,7.9092773997574612e-14,6.6658740487397654e-10,1.6237525839135383e-09,3.1713917654561289e-09
0,1.1299999999999999,23,5.6500000000000001e-06,6.3235435944794269e-14,1.3299653764129505e-09,4.5760889565537348e-09,3.1714591939367374e-09
0,1.6000000000000001,23,8.0000000000000013e-06,4.790536163718466e-14,2.6664739041245399e-09,1.2990847496952946e-08,3.1715936271857769e-09
0,2.2599999999999998,23,1.13e-05,6.9946842147055419e-14,5.3203706916418318e-09,3.6613352923006977e-08,3.1718612731025666e-09
0,0.40000000000000002,24,2.0000000000000003e-06,1.45580988508603e-14,1.6517174505280604e-11,2.1359220570069239e-11,3.3373782140733178e-10
0,0.56999999999999995,24,2.8499999999999998e-06,8.8832678660868081e-14,3.3540133689506068e-11,6.1806133573505555e-11,3.3373903750954714e-10
0,0.80000000000000004,24,4.0000000000000007e-06,4.8427720453289222e-14,6.606824816153649e-11,1.7087478980931053e-10,3.3373982384630956e-10
0,1.1299999999999999,24,5.6500000000000001e-06,1.5152902387123854e-14,1.3181591448966763e-10,4.8155512412719793e-10,3.3374185692201047e-10
0,1.6000000000000001,24,8.0000000000000013e-06,7.3480168980145615e-14,2.642712482557276e-10,1.3670259393904153e-09,3.3374656723398804e-10
