lambda2,trial,detector,c3_y_m,c5_y_m
0,56,DET_30E,3.2188844245340803e-09,1.3373872428766884e-13
0,56,DET_29E,4.8831218377525221e-09,2.0775590933972451e-13
0,56,DET_28E,1.4817329654354116e-09,6.4058784786974832e-14
0,56,DET_27E,-9.1455465930582143e-10,-3.5032147175880725e-14
0,56,DET_26E,-1.6767207602871676e-09,-7.1505525374384027e-14
0,56,DET_25E,-4.2193393256060949e-09,-1.8519744917558126e-13
0,56,DET_24E,-7.5096913014021269e-10,-3.1965300343609101e-14
0,56,DET_23E,3.701168566871899e-09,1.6565923413862532e-13
0,56,DET_22E,2.6549332334555038e-09,1.1764065675211142e-13
0,56,DET_21E,4.1391881048365154e-09,1.8198634935679748e-13
0,56,DET_20E,6.3416335588111203e-10,2.5314975277912414e-14
0,56,DET_19E,-3.054138790592862e-09,-1.4193271387193252e-13
0,56,DET_18E,-2.1949409953544769e-09,-9.9574044570993379e-14
0,56,DET_17E,-2.7752286004311105e-09,-1.2113538887635929e-13
0,56,DET_16E,-1.6359357839952406e-10,-2.6057890822870891e-15
0,56,DET_15E,2.8741304387334866e-09,1.4002827597330194e-13
0,56,DET_14E,2.6514170841252462e-09,1.246959527867811e-13
0,56,DET_13E,5.5699881071716625e-09,2.573415040275737e-13
0,56,DET_12E,3.0836275130350918e-09,1.3982635045892303e-13
0,56,DET_11E,3.6809918600843668e-09,1.6241601728839455e-13
0,56,DET_10E,1.2046079008710847e-09,4.8547689890686924e-14
0,56,DET_09E,-3.0108209344622159e-10,-2.6213924866911866e-14
0,56,DET_08E,-1.5830236493539125e-09,-8.2294813972502909e-14
0,56,DET_07E,-3.9049327167978802e-09,-1.9134202323150146e-13
0,56,DET_06E,-2.7222282072588758e-09,-1.2923158413348055e-13
0,56,DET_05E,-4.1769301315196949e-09,-1.9355564609574565e-13
0,56,DET_04E,-1.2692812182459468e-09,-5.4129120782567265e-14
0,56,DET_03E,-4.7829840643322986e-11,1.0668007519238294e-14
0,56,DET_02E,2.18962681925899e-09,1.21797875004832e-13
0,56,DET_01E,3.6303048473016687e-09,1.9454421150020264e-13
0,56,DET_00E,2.2382329571768764e-09,1.1961285727365263e-13
0,57,DET_00W,2.2808553945153104e-09,8.2397061434220269e-14
0,57,DET_01W,3.7483990382675197e-09,1.378394314234461e-13
0,57,DET_02W,2.289059778495594e-09,9.3487283119289556e-14
0,57,DET_03W,3.9733652804446629e-11,2.8478391172808818e-14
0,57,DET_04W,-1.5796923994697283e-09,-2.7292388184254663e-14
0,57,DET_05W,-4.1599916680844598e-09,-9.2977266440789295e-14
0,57,DET_06W,-2.691333752778374e-09,-6.9767646741699326e-14
0,57,DET_07W,-3.8741297357454848e-09,-1.1189537096280678e-13
0,57,DET_08W,-9.6501177729887503e-10,-3.121430392771195e-14
0,57,DET_09W,1.2513267064545168e-09,3.1512253797382996e-14
0,57,DET_10W,2.4328496006398021e-09,6.7890102568051628e-14
0,57,DET_11W,5.7946557942370801e-09,1.648713110885806e-13
0,57,DET_12W,4.1029358250210131e-09,1.1840966561623812e-13
0,57,DET_13W,6.6153876317696833e-09,1.9295910258814449e-13
0,57,DET_14W,2.6320659237672998e-09,7.8094023985855023e-14
0,57,DET_15W,1.7515541862319899e-09,5.535963968832445e-14
0,57,DET_16W,-1.0978298010108561e-09,-2.9503779954334668e-14
0,57,DET_17W,-4.408385551390499e-09,-1.2531495819540615e-13
0,57,DET_18W,-2.4133821662159061e-09,-7.0326142817664238e-14
0,57,DET_19W,-2.452130281802632e-09,-7.3593014462952746e-14
0,57,DET_20W,1.4970728717033521e-09,4.1686988826567305e-14
0,57,DET_21W,5.8938450240364152e-09,1.6855863606669619e-13
0,57,DET_22W,2.9730865900824732e-09,8.5962655955875736e-14
0,57,DET_23W,3.1201678276273255e-09,9.1880157067454536e-14
0,57,DET_24W,-1.742838018665019e-09,-4.9209195948693533e-14
0,57,DET_25W,-6.2809222214794405e-09,-1.7981572072027592e-13
0,57,DET_26W,-1.6021006182388795e-09,-4.6104008328787997e-14
0,57,DET_27W,1.0038681359444194e-09,2.7999329029090327e-14
0,57,DET_28W,2.5307805551810793e-09,7.2224058098904599e-14
0,57,DET_29W,6.1376439086549999e-09,1.757966979458679e-13
0,57,DET_30W,3.1152282226335923e-09,8.9168076637997574e-14
0,57,DET_31W,3.5475535583312321e-09,1.0158655242751209e-13
0,57,DET_32W,5.3907440080503754e-10,1.5288200268862606e-14
0,57,DET_33W,-1.7673389799410651e-09,-5.0951954198768773e-14
0,57,DET_34W,-2.0540723837409731e-09,-5.9094646007239143e-14
0,57,DET_35W,-5.4361194428719885e-09,-1.5601836070237748e-13
0,57,DET_36W,-4.4441641510107404e-09,-1.2721139752480391e-13
0,57,DET_37W,-7.0370674399689573e-09,-2.0123395461179556e-13
0,57,DET_38W,-2.6137941396732336e-09,-7.4438462899726175e-14
0,57,DET_39W,-9.9675472677348056e-10,-2.7676513612801396e-14
0,57,DET_40W,1.8670499681904909e-09,5.3871751386150747e-14
0,57,DET_41W,5.7461630035191147e-09,1.6496857955589659e-13
0,57,DET_42W,3.9955376111437637e-09,1.1410906330038789e-13
0,57,DET_43W,5.6767760328744173e-09,1.6148104141081235e-13
0,57,DET_44W,3.9596544132964918e-09,1.1168589065316655e-13
0,57,DET_45W,9.3776243615235737e-10,2.5938920741018135e-14
0,57,DET_46W,-2.8087801364955828e-09,-8.1512705494799848e-14
0,57,DET_47W,-6.994260874208425e-09,-1.9989569645259283e-13
0,57,DET_48W,-1.9731973787114698e-09,-5.5500403189409309e-14
0,57,DET_49W,-7.1786550827590898e-10,-1.8461786417975677e-14
0,57,DET_49E,1.0540324251369347e-09,3.1767324106576619e-14
0,57,DET_48E,2.0518961744390979e-09,5.8519192892430712e-14
0,57,DET_47E,6.7393117630466269e-09,1.8937013056414076e-13
0,57,DET_46E,2.3231484167726814e-09,6.1553352384133006e-14
0,57,DET_45E,-1.2819017708338203e-09,-3.9404135062053536e-14
0,57,DET_44E,-4.4820781795420278e-09,-1.3216412005107591e-13
0,57,DET_43E,-5.9737065888842057e-09,-1.7157259829226019e-13
0,57,DET_42E,-4.0451829759413365e-09,-1.1389518987685868e-13
0,57,DET_41E,-5.5238616347692682e-09,-1.5176049949065507e-13
0,57,DET_40E,-1.6320234201571478e-09,-4.2181141112829784e-14
0,57,DET_39E,1.4632057387418912e-09,4.8425443565615454e-14
0,57,DET_38E,2.8895135564784126e-09,8.5147788498881874e-14
0,57,DET_37E,7.3627932136999644e-09,2.1101676393382045e-13
0,57,DET_36E,4.5337355313075846e-09,1.2770662119896866e-13
0,57,DET_35E,5.2407636741315132e-09,1.4203618972415176e-13
0,57,DET_33E,1.3184408442288809e-09,2.7465204991760159e-14
0,57,DET_32E,-8.9799915742451669e-10,-3.2231566668053447e-14
0,57,DET_31E,-4.1009788178822937e-09,-1.2502688638686046e-13
0,57,DET_30E,-3.3500455818182338e-09,-9.7691977693230127e-14
0,57,DET_29E,-6.2343687928772245e-09,-1.7489696148591535e-13
0,57,DET_28E,-2.4164083550622277e-09,-6.4738260424759852e-14
0,57,DET_27E,-5.278308797770917e-10,-5.1863651732097598e-15
0,57,DET_26E,1.7381050945379887e-09,5.1382931944011595e-14
0,57,DET_25E,6.1522297070909585e-09,1.6949336103679319e-13
0,57,DET_24E,1.5509251593105248e-09,3.9622148420706088e-14
0,57,DET_23E,-3.6623327272477803e-09,-1.1249093749055551e-13
0,57,DET_22E,-3.1182786778786953e-09,-9.0875786308256917e-14
0,57,DET_21E,-5.7178469637600919e-09,-1.5968072927103198e-13
0,57,DET_20E,-1.264321758751527e-09,-3.1822866642909785e-14
0,57,DET_19E,2.9843290854172445e-09,9.4251710771862856e-14
0,57,DET_18E,2.5572873660856486e-09,7.5579930157089916e-14
0,57,DET_17E,4.1077858246651973e-09,1.123579664272037e-13
0,57,DET_16E,7.6445593997393975e-10,1.5972455572303974e-14
0,57,DET_15E,-2.49554711246009e-09,-8.4644447241205904e-14
0,57,DET_14E,-2.9334417734672603e-09,-8.965157584295339e-14
0,57,DET_13E,-6.8423005669842853e-09,-2.0095126748074683e-13
0,57,DET_12E,-4.0355992216674562e-09,-1.1535045207149816e-13
0,57,DET_11E,-5.3503927890726093e-09,-1.4704992947882544e-13
0,57,DET_10E,-2.0826796308906149e-09,-5.3177698314098303e-14
0,57,DET_09E,-5.8420141871644102e-10,-4.0186556688400231e-15
0,57,DET_08E,1.4372064771680337e-09,5.0187813740156849e-14
0,57,DET_07E,4.3965754464258096e-09,1.3508266071118332e-13
0,57,DET_06E,3.2293406344327993e-09,9.1782338060025433e-14
