index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,length_relative,length_relative_percent,local_R_max,bmad_local_R_max_scale,local_R_max_relative,local_R_max_relative_percent,local_R_fro,bmad_local_R_fro_scale,local_R_fro_relative,local_R_fro_relative_percent,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_orbit_out_max_scale,orbit_out_max_relative,orbit_out_max_relative_percent,bmad_affine_residual,cumulative_R_max,bmad_cumulative_R_max_scale,cumulative_R_max_relative,cumulative_R_max_relative_percent
"39","D019","Drift","Drift","0.22719999999999985","0.2272","1.6653345369377348e-16","7.329817504127359e-16","7.329817504127359e-14","4.983710980011047e-8","1.0","4.983710980011047e-8","4.983710980011047e-6","8.792074933755466e-8","2.4704738315786465","3.558861794596416e-8","3.5588617945964163e-6","3","4","5.040614803266015e-14","4.2120971966395915e-12","0.0019906419","2.1159492305670807e-9","2.1159492305670808e-7","9.435865993721523e-11","0.0019385401210460507","28.290064740976","6.852370748513075e-5","0.006852370748513075"
"40","SK_Q05W","Quadrupole","Quadrupole","0.17270000000000252","0.1727","2.525757381022231e-15","1.4625115118831466e-14","1.4625115118831465e-12","1.0265319019542307e-6","1.0","1.0265319019542307e-6","0.00010265319019542307","1.0825157884968146e-6","2.4616358009254924","4.3975464936357564e-7","4.3975464936357567e-5","1","2","1.362308932871016e-9","6.872824418954759e-10","0.0019906419","3.4525669428312344e-7","3.452566942831234e-5","2.8721307884088665e-11","0.0019814209688800988","28.888176791059575","6.858933961845999e-5","0.006858933961845999"
"41","D020","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","7.107701822184096e-16","7.107701822184096e-14","4.308878881476019e-8","1.0","4.308878881476019e-8","4.308878881476019e-6","8.863683501225406e-8","2.489013831927627","3.561122637217685e-8","3.561122637217685e-6","1","2","5.569154637913342e-14","4.74753640940977e-12","0.0019906419","2.384927399252357e-9","2.384927399252357e-7","8.747961014431149e-11","0.0020589491261896464","29.97011404243965","6.870007645863607e-5","0.0068700076458636065"
"42","Q05W","Quadrupole","Quadrupole","0.5999999999999979","0.6","2.1094237467877974e-15","3.5157062446463414e-15","3.5157062446463415e-13","4.489024596932012e-6","1.0680066","4.203180576723039e-6","0.00042031805767230387","4.7347617472168246e-6","2.6163499594960973","1.8096821222374733e-6","0.00018096821222374733","1","2","6.35301609670097e-9","3.1677502019059056e-9","0.0025691937000000002","1.232974454945108e-6","0.00012329744549451082","7.915868611638177e-11","0.002067666232530352","30.008840258556432","6.890190406278021e-5","0.006890190406278022"
"43","D021","Drift","Drift","0.17040000000000077","0.1704","7.771561172376096e-16","4.560775335901444e-15","4.560775335901444e-13","2.837369270428363e-8","1.0","2.837369270428363e-8","2.837369270428363e-6","4.252392474163283e-8","2.461315367935121","1.7276910263355468e-8","1.7276910263355469e-6","5","2","2.0670463379767829e-13","5.3149299197863265e-12","0.0029807629200000003","1.7830770384738702e-9","1.7830770384738703e-7","6.35680410220052e-11","0.0020302448939089612","29.440442064374782","6.896108725098646e-5","0.006896108725098646"
"44","DET_05W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.0029807629200000003","0.0","0.0","0.0","0.0020302448939089612","29.440442064374782","6.896108725098646e-5","0.006896108725098646"
"45","D022","Drift","Drift","0.3247509999999991","0.324751","8.881784197001252e-16","2.7349520700479064e-15","2.7349520700479065e-13","4.726243163499788e-8","1.0","4.726243163499788e-8","4.726243163499788e-6","9.573050275722364e-8","2.4921737615466864","3.841245110365484e-8","3.841245110365484e-6","3","4","1.3742097311889495e-13","4.763491569237648e-12","0.0037651380200000003","1.265157225029867e-9","1.2651572250298668e-7","9.826732223078283e-11","0.001958926690888374","28.357180022790047","6.908044767900149e-5","0.006908044767900149"
"46","B06W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","2.7430667926127665e-16","2.7430667926127666e-14","0.00024700000000010824","3.2371283","7.630219661052922e-5","0.007630219661052922","0.0003475678954616417","5.193894506171397","6.691855120443066e-5","0.006691855120443066","3","3","7.677439952220156e-9","7.677070299862355e-9","0.01155097235","6.646254589867799e-7","6.646254589867799e-5","1.6385908899340285e-10","0.0028079619174299353","17.566224100466826","0.00015985005664110325","0.015985005664110326"
"47","D023","Drift","Drift","0.22719900000000237","0.227199","2.3592239273284576e-15","1.0383953834869137e-14","1.0383953834869137e-12","4.935262151728459e-8","1.0","4.935262151728459e-8","4.935262151728459e-6","9.084713245470645e-8","2.470473739454998","3.6773162573566924e-8","3.6773162573566923e-6","3","4","2.850098850612972e-13","3.0045774895848254e-12","0.012094168720000001","2.484319145156448e-10","2.4843191451564478e-8","1.178865078471647e-10","0.0027713285134751686","16.80855385938401","0.00016487608253865158","0.01648760825386516"
"48","SK_Q06W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","5.9464753779865426e-15","5.946475377986543e-13","1.4807629336310857e-6","1.0","1.4807629336310857e-6","0.00014807629336310857","1.5610661746899364e-6","2.4616358221667967","6.341580507696077e-7","6.341580507696076e-5","1","2","2.360179131993826e-9","1.1794635094986017e-9","0.012507065539999999","9.430377619166148e-8","9.430377619166149e-6","1.275244992070268e-11","0.0027450034213742924","16.23263008735711","0.0001691040457770461","0.01691040457770461"
"49","D024","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","7.107701822184096e-16","7.107701822184096e-14","2.1422463913900458e-8","1.0","2.1422463913900458e-8","2.142246391390046e-6","2.685252910839426e-8","2.4890140387338","1.078842010953645e-8","1.078842010953645e-6","1","2","7.175679582032004e-14","2.0231594177744228e-12","0.01325396383","1.5264561181275103e-10","1.5264561181275103e-8","5.322647878003295e-11","0.002694382169682541","15.190828670376229","0.00017736900521673842","0.017736900521673843"
"50","Q06W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","2.4054832200211667e-15","2.405483220021167e-13","1.4840076587585571e-6","1.0769138","1.378018982353608e-6","0.00013780189823536082","1.5753605165954446e-6","2.6229407690786575","6.006084983569075e-7","6.0060849835690756e-5","1","2","1.7955274957820455e-9","8.979738532616244e-10","0.01365849345","6.574472188670445e-8","6.574472188670446e-6","3.954474527782109e-10","0.0028029040589387932","14.307279332419384","0.0001959075512412476","0.01959075512412476"
"51","D025","Drift","Drift","0.17639999999999745","0.1764","2.55351295663786e-15","1.4475697033094653e-14","1.4475697033094653e-12","1.3226058655702234e-8","1.0","1.3226058655702234e-8","1.3226058655702235e-6","1.9118499284115622e-8","2.4621604600397964","7.764928238595224e-9","7.764928238595224e-7","3","6","4.0405007585635743e-14","9.507123929254624e-12","0.013471595349999999","7.057162631636367e-10","7.057162631636367e-8","7.762645886331965e-12","0.0028955600754940747","14.369455488678659","0.0002015079887874259","0.02015079887874259"
"52","DET_06W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.013471595349999999","0.0","0.0","0.0","0.0028955600754940747","14.369455488678659","0.0002015079887874259","0.02015079887874259"
