girder,parameter,step,observation_index,dx,dpx,dy,dpy,dz,dpz
GIRDER_5AB,x_offset,1e-05,72,1.3291449138615532,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_5AB,x_offset,1e-05,74,1.505590164287327,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_5AB,x_offset,1e-05,76,1.5512093216379312,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_5AB,x_offset,1e-05,78,1.6841189819959408,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_5AB,x_offset,1e-05,80,1.7998124762786267,0.04995464905349552,0.0,0.0,-0.06372416823075737,0.0
GIRDER_5AB,x_offset,1e-05,81,1.7998124762786267,0.04995464905349552,0.0,0.0,-0.06372416823075737,0.0
GIRDER_5AB,x_offset,1e-05,1177,-0.4114614179644631,-0.17105040864135443,1.6332370169321401e-16,1.696712679815595e-17,-0.07304870955522025,-0.0007743995704767627
GIRDER_5AB,y_offset,1e-05,61,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,y_offset,1e-05,62,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,y_offset,1e-05,64,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,y_offset,1e-05,66,0.0,0.0,-0.12570527217045943,-0.641374892326891,0.0,0.0
GIRDER_5AB,y_offset,1e-05,68,0.0,0.0,-0.13532589555556065,-0.641374892326891,0.0,0.0
GIRDER_5AB,y_offset,1e-05,70,0.0,0.0,-0.2812386835629295,-0.641374892326891,0.0,0.0
GIRDER_5AB,y_offset,1e-05,72,0.0,0.0,0.00861363464858956,0.8752601714871457,0.0,0.0
GIRDER_5AB,y_offset,1e-05,74,0.0,0.0,0.3606870386427798,0.8752601714871457,0.0,0.0
GIRDER_5AB,y_offset,1e-05,76,0.0,0.0,0.4517140964809297,0.8752601714871457,0.0,0.0
GIRDER_5AB,y_offset,1e-05,78,0.0,0.0,0.7169179284516931,0.8752601714871457,0.0,0.0
GIRDER_5AB,y_offset,1e-05,80,0.0,0.0,1.0736281730947383,0.8358874915959005,0.0,0.0
GIRDER_5AB,y_offset,1e-05,81,0.0,0.0,1.0736281730947383,0.8358874915959005,0.0,0.0
GIRDER_5AB,y_offset,1e-05,1177,1.4416103715574164e-15,1.373119816838026e-16,-3.5991426820274772,0.10013953773156492,-6.100457017578578e-18,-9.693522803355793e-22
GIRDER_5AB,z_offset,1e-05,61,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,z_offset,1e-05,62,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,z_offset,1e-05,64,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,z_offset,1e-05,66,-0.004779398568003863,-0.02340445561623286,0.0,0.0,2.7443867491039328e-14,0.0
GIRDER_5AB,z_offset,1e-05,68,-0.0051304654022473655,-0.02340445561623286,0.0,0.0,2.7443867491039328e-14,0.0
GIRDER_5AB,z_offset,1e-05,70,-0.010454979054940491,-0.02340445561623286,0.0,0.0,2.7443867491039328e-14,0.0
GIRDER_5AB,z_offset,1e-05,72,0.022093984930124374,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_5AB,z_offset,1e-05,74,0.015098793046401179,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_5AB,z_offset,1e-05,76,0.01329021640026765,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_5AB,z_offset,1e-05,78,0.008020997902397851,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_5AB,z_offset,1e-05,80,0.003434316253199425,-0.001980457704566013,0.0,0.0,-0.0002719941039563438,0.0
GIRDER_5AB,z_offset,1e-05,81,0.003434316253199425,-0.001980457704566013,0.0,0.0,-0.0002719941039563438,0.0
GIRDER_5AB,z_offset,1e-05,1177,-0.020331813562795783,0.0006276350428480068,-2.8194917566955325e-18,-6.361526416513155e-19,0.00016296254539931065,1.7268009804968035e-06
GIRDER_5AB,x_pitch,1e-06,61,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,x_pitch,1e-06,62,-2.1175823681357508e-16,0.0,0.0,0.0,4.4932450873880463e-14,0.0
GIRDER_5AB,x_pitch,1e-06,64,-2.1175823681357508e-16,0.0,0.0,0.0,4.4932450873880463e-14,0.0
GIRDER_5AB,x_pitch,1e-06,66,-0.2296797386589088,-1.0835075347221996,0.0,0.0,2.76212150143707e-14,0.0
GIRDER_5AB,x_pitch,1e-06,68,-0.2459323516797514,-1.0835075347221996,0.0,0.0,2.718972568765755e-14,0.0
GIRDER_5AB,x_pitch,1e-06,70,-0.49243031582919666,-1.0835075347221996,0.0,0.0,1.5841501347125544e-13,0.0
GIRDER_5AB,x_pitch,1e-06,72,-4.960111444301512,-3.354309912234165,0.0,0.0,0.17559850769965824,0.0
GIRDER_5AB,x_pitch,1e-06,74,-6.309382606505296,-3.3543099122341644,0.0,0.0,0.17559850769985702,0.0
GIRDER_5AB,x_pitch,1e-06,76,-6.6582308373796115,-3.3543099122341644,0.0,0.0,0.17559850769983207,0.0
