trial,family,element_count,contribution_norm_m,projection_numerator
49,marker,222,2.9052022822693046e-20,-3.3236367523210796e-26
49,normal_sextupole,76,1.5472831958908392e-05,2.2335515776783664e-10
49,octupole,2,2.3279653832301269e-09,-1.0639941346818057e-14
49,other_sextupole,6,2.7092524608232649e-09,-1.6159410692809425e-14
49,quadrupole,122,1.5360228962314109e-07,-8.559120328474248e-13
49,rfcavity,4,9.9177022320965889e-09,-5.2801179219335784e-14
49,sbend,98,1.4320684400228221e-06,-6.4549792162740673e-12
49,wiggler,3,2.3463424037218007e-09,-7.9031915846554589e-15
50,drift,562,1.0174692192834088e-06,2.2817068656271585e-12
50,kicker,82,4.1644281103598367e-07,1.0537280304307984e-12
50,marker,222,1.2880006885997518e-20,7.7584877664341823e-26
50,normal_sextupole,76,1.0573758488497459e-05,1.0726390018370751e-10
50,octupole,2,1.8628664455098791e-09,3.8210587383036399e-15
50,other_sextupole,6,3.0003451389196336e-09,6.0761909919970949e-15
50,quadrupole,122,3.749556432776801e-07,8.8110666062602794e-13
50,rfcavity,4,2.7813413799618357e-08,7.4801210250131098e-14
50,sbend,98,1.6885895246207847e-06,3.5918667511099462e-12
50,wiggler,3,3.4313921318016406e-09,1.5038042300513988e-14
51,drift,562,5.9291200361236172e-07,5.7782025193808236e-13
51,kicker,82,2.1676971574541843e-07,2.0105793042237277e-13
51,marker,222,1.1812144006292427e-20,-3.8883048162812747e-26
51,normal_sextupole,76,1.1098453006365192e-05,1.1936775821450614e-10
51,octupole,2,2.3451016921601164e-10,3.1708493171772501e-16
51,other_sextupole,6,2.5341074883996969e-09,2.5865999700607177e-15
