element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
270,270,d110,Drift,101.42869400000005,0,7.5661329770822113e-07,9.8795650473626235e-06
271,271,q15w,Quadrupole,101.76239400000004,0,5.6645113067744751e-06,7.597939307867051e-05
272,272,d111,Drift,102.09484400000004,0,1.1177270869623166e-06,1.134784109835596e-05
273,273,sex_15w,Sextupole,102.26329400000004,-0.94264120352000003,0.10166085146663759,0.32675132375506122
274,274,d112,Drift,102.66736800000004,0,9.6796956571877352e-06,9.585331894384977e-05
275,275,b16w,SBend,106.22257300000004,0,0.00024039058207302945,0.0012364238846330788
276,276,d113,Drift,109.58827550000005,0,2.7468583231666965e-06,2.840643327295451e-05
277,277,q16w,Quadrupole,109.96684700000004,0,8.5024609395068029e-06,7.5921598459061245e-05
278,278,d114,Drift,110.30017200000003,0,2.0149714423543373e-06,2.2557681849941666e-05
279,279,sex_16w,Sextupole,110.46949700000005,0.38804889035840001,-0.0024222939455169701,0.14616045830941388
280,280,d115,Drift,110.62437200000005,0,1.1412628949713084e-06,1.2776481467921942e-05
281,281,det_16w,Marker,110.64324700000004,0,3.6804376161101341e-20,7.1225650424309697e-19
282,282,d116,Drift,110.89156650000005,0,1.503284114078252e-05,0.00016823131397883384
283,283,b17w,SBend,114.42701700000005,0,0.00038229187663538531,0.0022425390314931809
284,284,d117,Drift,117.79272000000006,0,4.916956230055448e-06,5.3215551816083812e-05
285,285,q17w,Quadrupole,118.17129200000005,0,1.2437433664045444e-05,0.00018445721492747896
286,286,d118,Drift,118.50294200000005,0,3.891469034448565e-06,4.3158992305270914e-05
287,287,sex_17w,Sextupole,118.67059200000006,-0.76890918149760001,-0.059911510446566424,0.33097507274019922
288,288,d119,Drift,118.83169200000006,0,3.1323347551452192e-06,3.4218774173891216e-05
289,289,det_17w,Marker,118.85679200000006,0,1.2545368805178361e-18,8.2427697099744883e-18
290,290,d120,Drift,119.10056550000006,0,3.038604791974406e-05,0.00033241187306843722
291,291,b18w,SBend,122.63147000000006,0,-0.00050500693632344262,0.0050539849753179636
292,292,d121,Drift,125.99717250000008,0,1.0004001250274243e-05,0.00010779662560117328
293,293,q18w,Quadrupole,126.37574400000007,0,3.7054792420541654e-05,0.00034272482792272564
