trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,213,213,d090,Drift,66.220270499999998,0,-5.776754390874662e-16,5.5992351204277597e-10
1,214,214,det_11w,Marker,66.338255000000004,0,9.2839073239489862e-28,4.210576722702265e-22
1,215,215,d091,Drift,66.433454999999995,0,-4.2185782113968063e-16,4.4663496173392742e-10
1,216,216,q11w,Quadrupole,66.828654999999998,0,-7.7630058934382284e-16,4.1844072472576396e-10
1,217,217,d092,Drift,67.430561999999995,0,-3.9486018587298085e-15,1.3553458234787491e-09
1,218,218,b12w,SBend,71.019599999999997,0,-3.8451176300618816e-14,1.3127253719428549e-08
1,219,219,d093,Drift,74.5293815,0,-2.9424934116340717e-15,1.0112739692241121e-09
1,220,220,sk_sex_12w,Sextupole,74.816032000000007,0,-8.4580801904680851e-16,2.9068667723822711e-10
1,221,221,d094,Drift,75.041032000000001,0,-2.1277357979123113e-15,7.3125867242641902e-10
1,222,222,det_i12w1,Marker,75.202032000000003,0,-6.2422003228951858e-28,2.1453148109924392e-22
1,223,223,d095,Drift,75.415532000000013,0,-2.8442494818513064e-15,9.7417985149296153e-10
1,224,224,det_12w2,Marker,75.629032000000009,0,-6.2923907755562479e-28,2.1551978300008817e-22
1,225,225,d096,Drift,75.781532000000013,0,-2.0456036538198728e-15,6.9883926428684155e-10
1,226,226,det_12w3,Marker,75.934032000000016,0,6.3357425927003118e-28,2.1644787757029349e-22
1,227,227,d097,Drift,76.08653200000002,0,-2.0580234125307964e-15,7.0169505593742824e-10
1,228,228,det_12w,Marker,76.239032000000023,0,8.1721742478278889e-28,8.6661607481137165e-22
1,229,229,d098,Drift,76.281732000000034,0,-5.7928249368669052e-16,1.9723531451048459e-10
1,230,230,q12w,Quadrupole,76.624432000000027,0,1.160675669048129e-17,4.2660728141144575e-10
1,231,231,d099,Drift,76.955657000000016,0,2.8951174071972723e-16,2.0169904367273078e-10
1,232,232,sex_12w,Sextupole,77.122882000000033,0.45238137688960001,-3.2972968124309323e-13,4.8477188578604697e-07
1,233,233,d100,Drift,77.560193000000027,0,2.7936932620639962e-15,1.9463295611868548e-09
1,234,234,b13w,SBend,81.149147000000028,0,3.1077924051618848e-14,2.1134369821412233e-08
1,235,235,d101,Drift,84.531417500000032,0,8.6548746926264269e-16,5.9778705260555188e-10
1,236,236,q13w,Quadrupole,84.92604500000003,0,-1.2673358756275313e-16,8.7740831682951198e-10
1,237,237,d102,Drift,85.257445000000018,0,-1.5662663046863764e-16,3.4814263209647585e-10
1,238,238,sex_13w,Sextupole,85.424845000000033,-0.64146307443520001,2.0467331759876948e-12,4.1772603727985281e-06
1,239,239,d103,Drift,85.570645000000027,0,-4.373450346485035e-17,9.7211087949344494e-11
1,240,240,det_13w,Marker,85.580445000000026,0,1.932383688591291e-57,1.5421197902526138e-51
1,241,241,d104!s1,Drift,85.980222500000011,0,-1.7204151105690903e-15,3.9965159483597105e-09
1,242,242,d14bw_rfa4_seg,Marker,86.379999999999995,0,1.2346506243571655e-28,2.8680874055235847e-22
1,243,243,d104!s2,Drift,87.170999999999992,0,-3.4040143641398749e-15,7.9075088396720911e-09
