case,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p99_2d_um,max_2d_um
bpm_gain,SEX_37W,29,6.123597009775748,2.385240691554144,6.571743565811145,4.002579768313875,9.479208985828322,11.57834304737576,11.811580165325479
bpm_gain,SEX_38W,30,5.380917601986563,3.0499849649499384,6.185198665021964,5.2403976887832275,8.214862580418917,9.15927089670983,9.264205154075487
bpm_gain,SEX_39W,31,3.251360666194488,4.557585940838346,5.598476202486175,3.8887281840806933,8.257005518902092,8.92525165082992,8.999501221044122
bpm_gain,SEX_40W,32,4.613914029003587,3.7788451735296595,5.963880742649414,5.379758658211816,7.548027713124936,8.249508669480004,8.327450997963902
bpm_gain,SEX_41W,33,3.201942208934232,2.335574181548285,3.9632487515761072,2.6849275927318477,5.823270108128438,6.674700521114236,6.769303900334881
bpm_gain,SEX_42W,34,7.427646835996092,6.972242875213908,10.18735040288955,9.417170863627192,12.468130653832599,13.077676590730128,13.145403917052077
bpm_gain,SEX_43W,35,3.571437512428085,1.748183663327678,3.976344052758046,2.448905656569319,5.860552594607347,6.831639922043686,6.939538513981058
bpm_gain,SEX_44W,36,7.523915294210053,3.2423792977244195,8.192821544789064,6.587334952261287,11.022008275007963,12.451895769805468,12.610772158116303
bpm_gain,SEX_45W,37,4.74961324596689,4.094484661903483,6.270855653961987,5.869892012824265,8.041141746574414,8.463520917552382,8.510451936549934
bpm_gain,SEX_47W,38,14.045689865534406,4.724335228914249,14.81893205173491,11.838827435164593,20.882502330502565,23.420780586715342,23.70281150407232
bpm_gain,SEX_47E,39,6.58047840272545,9.690689466901848,11.713759360370116,10.643295381782547,13.633097848290724,14.682331700516476,14.798913239652672
bpm_gain,SEX_45E,40,2.6199188707755505,1.7912570449995018,3.1737322966353325,2.5541365572820642,4.447281664386217,4.833446716657782,4.876353944687956
bpm_gain,SEX_44E,41,2.0192146055645734,10.33130657763605,10.526781237606832,5.2056459849111345,15.768250451293152,18.890937429901324,19.23790264974668
bpm_gain,SEX_43E,42,3.711971226039202,3.011838710295862,4.780157194044943,3.6831559250445367,6.606563240442855,7.4834359403090875,7.580866240294226
bpm_gain,SEX_42E,43,5.564328476130639,2.0860224193414694,5.94249450351227,5.623843193612309,7.524361046314711,7.797851196656805,7.82823899113926
bpm_gain,SEX_41E,44,2.7553368439054986,2.7408203914899967,3.8863836071327924,3.301404679504023,5.377320069229935,5.965966192133941,6.031371316901053
bpm_gain,SEX_40E,45,5.843687903580026,3.7036864209214833,6.918524511697975,5.840415147846413,9.091352349120465,9.978993568471077,10.077620370621146
bpm_gain,SEX_39E,46,4.925654339589383,6.093498322539163,7.835355287407413,7.4505792666738335,9.64805463566514,10.419808877690615,10.505559349026779
bpm_gain,SEX_38E,47,2.876077691525677,4.601017644046664,5.425973299650522,4.860868128603341,6.877441399803514,7.566658882436397,7.643238602728941
bpm_gain,SEX_37E,48,2.383194414326607,0.7221933438453731,2.4902166255914566,1.780077026501436,3.635268316378925,4.099220071701532,4.150770266737378
bpm_gain,SEX_36E,49,3.4055628165134775,2.8225860251797847,4.423217151210126,3.795760602258477,5.8150001043386705,6.413471679311891,6.479968520975582
bpm_gain,SEX_35E,50,1.582428129165754,1.9892337993594036,2.5418752708362535,2.4365444519696884,3.392547977739162,3.5076248789191733,3.520411201272508
bpm_gain,SEX_34E,51,3.9913727267189363,1.7750530279374417,4.3682799241332555,3.107548685511482,6.231329133732366,7.263268963789642,7.377928944907119
bpm_gain,SEX_33E,52,3.198270371955892,2.1047217537142093,3.8286795416551502,4.227169581961894,4.643989017601253,4.70599145609319,4.712880615925627
bpm_gain,SEX_32E,53,4.508456424298782,3.4010249782246373,5.6474020781514085,6.208830792587083,6.823226700924518,6.87993976446691,6.886241215971619
bpm_gain,SEX_31E,54,1.849748245904898,3.729800018492276,4.163289174579785,2.817957315599382,6.0014198508186585,7.072877186861992,7.191928001977919
bpm_gain,SEX_30E,55,0.9457251194409162,2.632905355249496,2.797603726628024,1.3454200683553963,4.116295988273869,5.112132648406334,5.222781166198831
bpm_gain,SEX_29E,56,4.805953857368448,4.189022923144392,6.37535140441559,5.504418481496716,8.756091499456783,9.21911389204285,9.270560824552414
bpm_gain,SEX_28E,57,10.43244167879444,6.5283304828181015,12.306702981478807,10.253144829673781,17.18147277857211,17.886524506588557,17.964863587479275
bpm_gain,SEX_27E,58,4.643126408377853,3.86003181407924,6.0380848329482495,5.920580005099792,7.320847156694388,7.552289481562268,7.578005295436477
bpm_gain,SEX_26E,59,3.573062441539097,4.483428981778192,5.733054216191049,5.102151014891028,7.421918321139161,7.923648082537511,7.979395833803995
bpm_gain,SEX_25E,60,3.0097369651402395,4.198512733072995,5.165851891905889,5.101276801934583,6.492510720234866,6.785791750469525,6.81837853160671
