plane,element_order,element_index,element_name,s_m,k2l_m2,nominal_beta_sext_m,actual_rms_relative_magnitude,predictor_source_only_rad_rms,predictor_nominal_beta_envelope_m_rms,predictor_direction_beta_envelope_m_rms,predictor_nominal_beta_phase_m_rms,predictor_direction_beta_phase_m_rms,actual_element_magnitude_share,predictor_source_only_rad_element_share,predictor_nominal_beta_envelope_m_element_share,predictor_direction_beta_envelope_m_element_share,predictor_nominal_beta_phase_m_element_share,predictor_direction_beta_phase_m_element_share
y,3,210,sex_10aw,59.240385,-0.11116394997904001,20.061636774539068,0.0298286948699281,3.7169509605797682e-09,4.644840569109397e-07,4.651080446049764e-07,3.149187789497343e-07,3.150132951080306e-07,0.003159506605121783,0.003478707310771991,0.0033079759320821874,0.0033083710383481294,0.003182767615752228,0.00318048498451339
y,4,232,sex_12w,77.25888200000003,0.4523813768896,14.119560905481242,0.016549903145533708,2.5778972250697536e-09,2.702570261033514e-07,2.704520243005637e-07,1.7527840728587914e-07,1.7519134429378006e-07,0.0017529941732434087,0.002412662964450356,0.0019247242709934614,0.0019237586940009596,0.0017714740299408116,0.001768793408392491
y,5,238,sex_13w,85.56084500000003,-0.6414630744352,47.05430078814797,0.36166495691110295,2.9584537259796772e-08,5.661939726549986e-06,5.670621664281339e-06,3.743196920563424e-06,3.7441961720388083e-06,0.03830817356188501,0.027688271150988934,0.04032336538930671,0.04033583314920183,0.037831106731346556,0.03780272099359518
y,6,254,sex_14w,92.46755300000004,0.4078490260464,11.986094975400665,0.17274142854466593,2.745536701847791e-08,2.651959637640501e-06,2.6510973379706996e-06,1.8195219016798763e-06,1.8187663317318473e-06,0.018297068874282934,0.025695573328793617,0.01888680251483904,0.018857583210011505,0.0183892348501166,0.018362904354331723
y,7,273,sex_15w,102.39929400000004,-0.94264120352,27.245557238622233,0.09078685038866789,8.80001554664633e-09,1.2815397626344768e-06,1.2803964621414515e-06,9.421134137706408e-07,9.424470632460238e-07,0.009616299161328029,0.008235965107339167,0.009126906785551982,0.009107618374027284,0.00952159180127389,0.00951527691021669
y,8,279,sex_16w,110.60549700000004,0.3880488903584,11.389715882663278,0.11806559709454376,1.785056156574561e-08,1.6807732500021472e-06,1.6820322442631367e-06,1.257908783409257e-06,1.259619201997932e-06,0.012505710876204933,0.016706402553790734,0.01197017933246464,0.011964503360104487,0.01271321879488268,0.012717558339197322
y,9,287,sex_17w,118.80659200000005,-0.7689091814976,43.92081969060073,0.30772235083891775,2.3349153387846813e-08,4.3172495755309345e-06,4.323361623738677e-06,3.161566431474318e-06,3.1663280541735e-06,0.03259448005548983,0.021852553733442286,0.030746712349239324,0.03075260587339612,0.03195278251333473,0.031968361300080225
y,10,295,sex_18w,127.00534400000006,0.23297390769040002,1.961918842412364,0.008359012317780048,3.4571940902569487e-09,1.3510302712920337e-07,1.350282179268966e-07,9.42393254397393e-08,9.414532928598687e-08,0.0008854009451464835,0.0032355999538553697,0.0009621806291201587,0.0009604724122295362,0.0009524420046980193,0.000950524345499336
y,11,303,sex_19w,133.67065100000005,-0.4434807016048,35.72778437432307,0.14176196347749245,1.1672076503470482e-08,1.946489057884488e-06,1.946867805730386e-06,1.4711170024479636e-06,1.4718999029534045e-06,0.01501567071289197,0.010923936929794573,0.013862561824759942,0.013848311459418405,0.014868035402617961,0.014860818932878994
y,12,309,sex_20w,141.87855400000004,0.3489547540528001,14.09306311379585,0.08208212120687863,1.1195123952438731e-08,1.1725527884335585e-06,1.1728069000109884e-06,8.699379261461962e-07,8.70279347167885e-07,0.008694279292018011,0.01047755538111073,0.008350720214230703,0.008342320513648862,0.00879214084433723,0.00878664627488293
y,13,317,sex_21w,150.08049100000005,-1.0296646092624,43.0672194749884,0.06031723194162624,4.774527270019154e-09,8.741875033420136e-07,8.757253431509905e-07,6.237487988071882e-07,6.245636954062356e-07,0.006388904829837432,0.004468496651111366,0.006225813734952092,0.006229142661440898,0.006303998395487065,0.006305814662300224
y,14,325,sex_22w,158.28717800000007,0.7338528077808001,10.5638914111664,0.13403167669719063,2.3528316478783238e-08,2.133553887196647e-06,2.139059125481766e-06,1.4133902697481042e-06,1.4146249136001832e-06,0.014196865456800385,0.022020233092376804,0.01519480551299128,0.015215392083937379,0.014284612667355725,0.014282550502768405
y,15,333,sex_23w,166.49091600000008,-1.0421456713024,27.334265782664712,0.1355179434209624,1.4973586234325838e-08,2.184139300653256e-06,2.18898817356597e-06,1.4007501396601053e-06,1.4005859678802002e-06,0.014354293381528792,0.01401383135108658,0.015555066167235813,0.01557054357738094,0.014156863547925157,0.014140808370756193
y,16,345,sex_24w,176.6935180000001,0.6850736806816001,4.802615677266312,0.2191672134562678,5.0702132336995415e-08,3.100030312933497e-06,3.099509389511148e-06,2.373027958657053e-06,2.3765672528023706e-06,0.023214567769752472,0.047452301712617585,0.02207788515306454,0.022047193585000097,0.023983315835521588,0.023994658573480272
